FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM),C12_FA_unsat (uM),C14_FA_unsat (uM),C16_FA_unsat (uM)
0.01,0.01,0.01,0.009,0.01,0.1,0.01,0.01,0.009,5.0,0.1,5.0,2.705947826747606e-06,7.867242082877083e-08,2.5649685297565297e-09,1.1696203262163495e-12,9.528258735359867e-15,9.96136853447617e-19,8.347228156763971e-23,6.430301121408579e-15,4.1038184901944616e-19,2.966452667828742e-23
0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,10.0,0.2,10.0,3.290508994874818e-05,6.131116798832177e-06,1.728807387931521e-06,7.764264487968705e-09,6.534898993457455e-10,7.469522377529661e-13,4.863047118021516e-16,4.0834580438235873e-10,2.848829166937807e-13,1.6358713682285517e-16
0.03,0.03,0.02,0.03,0.02,0.3,0.03,0.02,0.03,10.0,0.3,10.0,9.428829875319956e-05,2.5474289881713706e-05,1.0211880072994355e-05,7.488136667846386e-08,8.674177784359359e-09,1.5543098420202937e-11,1.621424588738893e-14,5.72518867650496e-09,7.139476454199913e-12,6.813931875234342e-15
0.03,0.03,0.03,0.03,0.03,0.3,0.03,0.03,0.03,20.0,0.3,20.0,0.0001173849416221675,4.8108643693566976e-05,3.556438716187691e-05,4.3320842237700065e-07,1.0583402630927593e-07,3.8627585151823646e-10,7.314087843733616e-13,6.342531088074086e-08,1.362975235554418e-10,2.1970802960837226e-13
0.04,0.03,0.04,0.04,0.03,0.4,0.03,0.04,0.04,20.0,0.4,20.0,0.000249883005017401,0.00014172495062659564,0.00017233719300734603,3.4517483718389643e-06,1.5422616897336674e-06,1.1512805638059077e-08,3.877173184032369e-11,1.2698589331845364e-06,5.5918300443115775e-09,1.6021156541368448e-11
0.04,0.04,0.04,0.04,0.04,0.4,0.04,0.04,0.04,20.0,0.4,20.0,0.00027699142598236617,0.00017815519138948119,0.00024064805362285192,5.5641164371815726e-06,2.71217837284065e-06,2.1812475684841414e-08,8.104445136291761e-11,1.722706672403829e-06,8.082027919889227e-09,2.5229482160843326e-11
0.05,0.05,0.05,0.04,0.05,0.5,0.05,0.05,0.04,20.0,0.5,20.0,0.0004610184043985156,0.0003558941078313316,0.000658848296512073,2.010543143323054e-05,1.4556905130445594e-05,1.760176230330515e-07,8.803557192952049e-10,8.616170789864143e-06,5.496606742908621e-08,2.2089333624834685e-10
0.06,0.06,0.05,0.06,0.05,0.6,0.06,0.05,0.06,30.0,0.6,30.0,0.0008050975663000734,0.0007807742981081989,0.0017703811708110965,7.323922130638146e-05,5.967451612785207e-05,8.997767812168889e-07,5.476836094777736e-09,3.948050802144132e-05,3.671096876387017e-07,1.893055907541172e-09
0.06,0.07,0.07,0.06,0.07,0.6,0.07,0.07,0.06,30.0,0.6,30.0,0.0008993333738332705,0.001001664594836376,0.0030893361303709135,0.00016612892246163218,0.00020944747162338596,5.048051441163502e-06,4.529122473188389e-08,0.00013178944297318222,1.7238284018318104e-06,1.2450638159028077e-08
0.08,0.07,0.08,0.08,0.07,0.8,0.07,0.08,0.08,40.0,0.8,40.0,0.0016465270618227247,0.0021763378821916374,0.008696869100505492,0.0006301750137593176,0.0010263395489180523,3.56633664903526e-05,4.2066029065199747e-07,0.0007980626803316363,1.599450518440355e-05,1.5447171843039615e-07
0.02,0.01,0.02,0.02,0.02,0.2,0.01,0.02,0.02,8.0,0.2,7.0,3.159434844704564e-05,5.0235136719347885e-06,1.2421707670732693e-06,5.028500179444822e-09,3.8661387767400864e-10,4.220592629029986e-13,1.6008563259313637e-14,3.226617536139694e-10,2.2091852804979052e-13,2.924863736111144e-14
0.09,0.09,0.08,0.09,0.1,0.9,0.09,0.08,0.09,50.0,0.9,50.0,0.0022628407826864247,0.003341453882296987,0.015345921861397108,0.0014240424396587325,0.0025177870566696734,9.613803228646652e-05,1.250451241006105e-06,0.0015653557722930343,3.5757210050775706e-05,3.831141121025445e-07
0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,5.0,0.1,6.0,2.8253909059086453e-06,8.64990863189246e-08,2.9100847735552983e-09,1.4248630108815696e-12,1.1690045345009825e-14,1.1583482879998795e-18,2.56379119489094e-09,8.078145904518114e-15,5.145172021945438e-19,6.821715129916512e-10
0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,60.0,1.0,70.0,0.002904588752553122,0.004532850631880906,0.023685235226653722,0.0024244335964759803,0.005037579875042049,0.00024211299446572562,3.7732728236431535e-06,0.003363697005863822,9.285030230766473e-05,1.1666176720786499e-06
0.1,0.1,0.2,0.1,0.2,1.0,0.1,0.2,0.1,80.0,1.0,70.0,0.0030228140336095366,0.005053177972838165,0.03580355086294975,0.005804313512267375,0.02125788551388609,0.0022626795961250986,6.81780071469126e-05,0.012878172102700954,0.0006206511033269208,1.3696942865185652e-05
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,80.0,2.0,80.0,0.00586346393452756,0.01111725007540886,0.09889482368105397,0.024950167010318866,0.14366125017366152,0.03666023690170304,0.0036843442017876742,0.11208319355377556,0.01771320292046823,0.0015148583383580998
0.3,0.3,0.3,0.3,0.2,3.0,0.3,0.3,0.3,100.0,3.0,100.0,0.008194569165403677,0.015152286563273559,0.14213813755068078,0.039227922721893925,0.30510890570184757,0.17655842437887223,0.04256005831604268,0.3339140359489472,0.12228259329465276,0.024729723784157154
0.3,0.3,0.3,0.3,0.3,3.0,0.3,0.3,0.3,200.0,3.0,200.0,0.007721992820860776,0.01439411993181585,0.13441495839190143,0.042319626568636456,0.332385382112336,0.21916091417813832,0.0858439974752704,0.25992283804943694,0.10936470778095352,0.03578497574855898
0.4,0.3,0.4,0.4,0.4,4.0,0.3,0.4,0.4,200.0,4.0,200.0,0.010948936100213526,0.018594367742925163,0.17391104481000194,0.05916750224621836,0.5299665605023002,0.5257272431969973,0.24853849063854352,0.5208021882092364,0.3606301321344607,0.14171204238830584
2.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,700.0,20.0,700.0,0.12079827227640602,0.18136691960088364,1.5928670522211983,0.8225314624227562,6.796829413486325,6.912671722876774,2.609909404090937,3.1053701976893207,3.085565058880144,1.067896724461577
0.5,0.5,0.5,0.5,0.5,5.0,0.5,0.5,0.5,300.0,5.0,200.0,0.011499988130320358,0.019600266383283257,0.1853990518422777,0.06279984193240323,0.6015991037528299,0.8046817320170464,0.6889265755531712,0.6054416216341267,0.6397858070199364,0.4671196992078545
0.8,0.7,0.8,0.9,0.8,8.0,0.7,0.8,0.9,400.0,8.0,400.0,0.025727134626396222,0.04003938285277559,0.3691289898503125,0.15611043341169364,1.6018545592742675,2.4101778070387354,1.93190360378827,1.1729453286211895,1.682712006809966,1.25758233061461
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,10.0,500.0,0.03213072774169603,0.04957718231243986,0.4570559204931375,0.21380100869112448,2.256518409302759,3.609862325564999,3.2025252277965452,1.3097911717507797,2.056186793438195,1.7215713878866243
0.6,0.7,0.7,0.7,0.7,6.0,0.7,0.7,0.7,400.0,6.0,300.0,0.01348238314621005,0.022205146840103857,0.21073229848871422,0.07982692329745004,0.8259444113109286,1.317489932132815,1.5755760899003022,0.6916233837585524,0.9929590458846592,1.077537509570011
2.0,2.0,2.0,2.0,2.0,20.0,2.0,2.0,2.0,900.0,20.0,900.0,0.09609432850817005,0.14404754947806478,1.2936694219122726,0.7480345263109421,7.4518796347953895,11.308654193232776,8.73201638419863,2.441519164853634,4.0944492819101015,3.218901539123454
