FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM),C12_FA_unsat (uM),C14_FA_unsat (uM),C16_FA_unsat (uM)
0.03,0.03,0.02,0.03,0.02,0.3,0.03,0.02,0.03,10.0,0.3,10.0,9.42883021729575e-05,2.5474288671933058e-05,1.0211876609704692e-05,7.488120133641344e-08,8.674246865556762e-09,1.5546279303476448e-11,1.6236046301530047e-14,5.72525591716025e-09,7.141020235333332e-12,6.8231515160328794e-15
0.04,0.03,0.04,0.04,0.03,0.4,0.03,0.04,0.04,20.0,0.4,20.0,0.000249883049583989,0.00014172496355724555,0.00017233715076074926,3.451747843075981e-06,1.542263981203806e-06,1.1512935432559117e-08,3.877443215492926e-11,1.2698629041416828e-06,5.591913945320161e-09,1.602241510821954e-11
0.04,0.04,0.04,0.04,0.04,0.4,0.04,0.04,0.04,20.0,0.4,20.0,0.00027699145618019337,0.00017815518085899712,0.00024064799796596142,5.5641166335374e-06,2.712182764182832e-06,2.1812656138234593e-08,-8.405608082579561e-10,1.7227107959298015e-06,8.082117781423064e-09,2.523050692271426e-11
0.05,0.05,0.05,0.04,0.05,0.5,0.05,0.05,0.04,20.0,0.5,20.0,0.0004610184264998355,0.0003558940822176589,0.0006588481554981802,2.0105429910325273e-05,1.4556911905916607e-05,1.760181061917024e-07,8.803649233469437e-10,8.61617815729526e-06,5.496629966998431e-08,2.2089662209529651e-10
0.06,0.06,0.05,0.06,0.05,0.6,0.06,0.05,0.06,30.0,0.6,30.0,0.0008050976011841379,0.0007807741507718715,0.0017703799190091278,7.323914625637571e-05,5.967448567929036e-05,8.997782791032302e-07,5.476881986330079e-09,3.9480486335246334e-05,3.6711054358890195e-07,1.893074393107833e-09
0.06,0.07,0.07,0.06,0.07,0.6,0.07,0.07,0.06,30.0,0.6,30.0,0.0008993333980271617,0.001001664375430041,0.0030893338100315224,0.00016612873310306608,0.00020944735982261683,5.04805999719655e-06,4.5291581772263657e-08,0.00013178933718046432,1.7238320593911292e-06,1.245074971416935e-08
0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,5.0,0.1,6.0,2.8253900850858735e-06,8.64989486954915e-08,2.910084464808298e-09,1.4242240191682948e-12,1.1629424731629453e-14,1.115249009393004e-18,1.8123409622579285e-10,8.040692303881905e-15,4.976758102066599e-19,4.105451896002222e-22
0.08,0.07,0.08,0.08,0.07,0.8,0.07,0.08,0.08,40.0,0.8,40.0,0.0016465271639457715,0.002176337475097319,0.008696863480574564,0.0006301744544390346,0.001026339461493511,3.5663439735509264e-05,4.206634039856956e-07,0.0007980624042887095,1.599454265356392e-05,1.5447300877922874e-07
0.09,0.09,0.08,0.09,0.1,0.9,0.09,0.08,0.09,50.0,0.9,50.0,0.0022628409061753287,0.0033414532655426455,0.015345913263316645,0.0014240413965807726,0.002517787281269184,9.613823856403019e-05,1.2504592529406374e-06,0.0015653554204255505,3.575729038776271e-05,3.831167442477179e-07
0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,60.0,1.0,70.0,0.0029045889108174072,0.00453284986939794,0.023685224347727154,0.0024244322716507867,0.005037581226218661,0.0002421134747439255,3.773292530715464e-06,0.0033636970682923606,9.285048892656279e-05,1.1666242623087021e-06
0.1,0.1,0.2,0.1,0.2,1.0,0.1,0.2,0.1,80.0,1.0,70.0,0.003022814050692555,0.005053177288811153,0.035803540700867754,0.005804311830062171,0.021257889741195992,0.002262682171207323,6.817816189571104e-05,0.012878175909634677,0.0006206518436521301,1.369697562554197e-05
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,80.0,2.0,80.0,0.005863463578807105,0.011117248756675878,0.09889481183934026,0.02495016673173792,0.14366125156156645,0.03666023523594426,0.0036843461741627097,0.11208320260661425,0.017713204899575355,0.0015148595133488774
0.3,0.3,0.3,0.3,0.2,3.0,0.3,0.3,0.3,100.0,3.0,100.0,0.008194569213210408,0.015152286575211615,0.1421381367722399,0.039227921918650044,0.305108884200472,0.17655841639585462,0.042560063404456804,0.33391402274923654,0.12228259999741042,0.02472972870676113
0.3,0.3,0.3,0.3,0.3,3.0,0.3,0.3,0.3,200.0,3.0,200.0,0.007721992324601814,0.014394118475553006,0.13441494523911748,0.04231962670611104,0.33238538681201896,0.2191609073964656,0.08584400090784183,0.2599228459781085,0.1093647114561553,0.03578498012412548
0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,10.0,0.2,10.0,3.290509257290249e-05,6.1311180138122805e-06,1.7288085082041142e-06,7.76434075448725e-09,6.534194507290552e-10,7.457175649410594e-13,4.810287683292237e-16,4.082931893163293e-10,2.84396420821119e-13,8.614341070199504e-11
0.4,0.3,0.4,0.4,0.4,4.0,0.3,0.4,0.4,200.0,4.0,200.0,0.010948936190595377,0.018594368347463877,0.17391105341156102,0.059167504957637576,0.5299665579992374,0.5257272182089842,0.24853850569425862,0.5208021551428984,0.3606301254926096,0.1417120517500452
0.02,0.01,0.02,0.02,0.02,0.2,0.01,0.02,0.02,8.0,0.2,7.0,3.1594353561887805e-05,5.023515843780701e-06,1.2421735958530255e-06,5.028514853932206e-09,3.864566494533172e-10,4.200885711072203e-13,2.1364768131508828e-16,3.2252728824042016e-10,2.199378623072777e-13,1.3681406862982024e-13
