FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM)
0.03,0.03,0.02,0.03,0.02,0.3,0.03,0.02,0.03,10.0,0.3,10.0,9.428833942780563e-05,2.547430412011326e-05,1.0211884164064863e-05,1.477237483726511e-07,1.6717003808589458e-08,2.939836450277874e-11,1.21644061689541e-09
0.04,0.03,0.04,0.04,0.03,0.4,0.03,0.04,0.04,20.0,0.4,20.0,0.000249904660228738,0.00014174188908244118,0.00017236020866449845,8.756979689135125e-06,3.7991494662247486e-06,2.7620299772071542e-08,9.644081119712282e-11
0.05,0.05,0.05,0.04,0.05,0.5,0.05,0.05,0.04,20.0,0.5,20.0,0.0004614366085024384,0.00035630542495649443,0.0006596904356677628,5.426782868424221e-05,3.864822543091931e-05,4.5906841935217134e-07,2.2561776356344205e-09
0.06,0.06,0.05,0.06,0.05,0.6,0.06,0.05,0.06,30.0,0.6,30.0,0.0008061400905824304,0.0007819907497469114,0.001773210480066528,0.00017123716229145054,0.00013611286518602674,2.0032750539871584e-06,1.1918530630772037e-08
0.06,0.07,0.07,0.06,0.07,0.6,0.07,0.07,0.06,30.0,0.6,30.0,0.0009027050419758468,0.001005951753211306,0.0031026862330461318,0.0004431115147395897,0.0005518182387544731,1.3070204369066431e-05,1.1448857708968508e-07
0.08,0.07,0.08,0.08,0.07,0.8,0.07,0.08,0.08,40.0,0.8,40.0,0.0016545473053831276,0.002187738204225162,0.008736755937122495,0.0016523583371517436,0.0026405993911331562,8.959609968797371e-05,1.0231474857833341e-06
0.09,0.09,0.08,0.09,0.1,0.9,0.09,0.08,0.09,50.0,0.9,50.0,0.0022784483128573617,0.003365099522091305,0.01543611305419444,0.003341993262163738,0.005837814060092053,0.00021907798744031314,2.765613403565806e-06
0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,60.0,1.0,70.0,0.0029321934130640877,0.004574048670555962,0.02383958702759391,0.006072630947371574,0.012559246126293465,0.0005957904224617909,9.001683687124517e-06
0.1,0.1,0.2,0.1,0.2,1.0,0.1,0.2,0.1,80.0,1.0,70.0,0.0030487922416375323,0.005073448330001721,0.035640076977319794,0.014976527082345238,0.05850045548300445,0.006690068931160125,0.00020993015037280307
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,80.0,2.0,80.0,0.0059753131057619325,0.011217892836574267,0.09817895301857428,0.05801373780110112,0.33927125162102056,0.09151677581242565,0.009831579247533615
0.3,0.3,0.3,0.3,0.2,3.0,0.3,0.3,0.3,100.0,3.0,100.0,0.008627012196683003,0.0156584274615565,0.14368565050025228,0.09791765893264871,0.764736726015482,0.4646325763859433,0.11688659970986498
0.4,0.3,0.4,0.4,0.4,4.0,0.3,0.4,0.4,200.0,4.0,200.0,0.011914226825685924,0.019941493245684182,0.18307492173598272,0.13099188931665987,1.1633305699944603,1.1717769113798295,0.5559964075348001
0.3,0.3,0.3,0.3,0.3,3.0,0.3,0.3,0.3,200.0,3.0,200.0,0.008140055423943778,0.014925813852097918,0.13591739424127525,0.08992531497157862,0.7006645592021357,0.4883968010503629,0.20762054288042064
0.5,0.5,0.5,0.5,0.5,5.0,0.5,0.5,0.5,300.0,5.0,200.0,0.01275787975247761,0.0214527366292407,0.19940251628684466,0.14280718985172547,1.3563756344903193,1.8153102444176923,1.527047037445185
0.8,0.7,0.8,0.9,0.8,8.0,0.7,0.8,0.9,400.0,8.0,400.0,0.02868362573377898,0.0444923747217124,0.40772561604968105,0.30453769582588824,3.098842086931235,4.6663849561009645,3.6381102244495644
2.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,700.0,20.0,700.0,0.13235341470269277,0.1984929821905846,1.7351281857541354,1.2735561311747314,10.50706350567882,10.916816756252784,4.116036727437152
0.6,0.7,0.7,0.7,0.7,6.0,0.7,0.7,0.7,400.0,6.0,300.0,0.015224391338845468,0.024848918731500955,0.23285416847785065,0.17108516446638458,1.7560293046628621,2.7943633305281823,3.2243363872525403
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,600.0,10.0,700.0,0.03260505652747866,0.05008473733420342,0.45984465247512274,0.3470053313733557,3.7259973438512644,6.246655676202616,6.2407355561117175
2.0,2.0,2.0,2.0,2.0,20.0,2.0,2.0,2.0,1000.0,20.0,1000.0,0.09845135373342705,0.14757894863073434,1.3259672213927218,1.001315958640448,10.180537071458149,16.270554628966817,13.753104897377149
0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,10.0,0.2,10.0,3.2905113030034684e-05,6.131123315141694e-06,1.7288081919796633e-06,1.7797565643920057e-08,1.4669857003113495e-09,1.6464559330031577e-12,2.3335278173034627e-13
