FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM)
0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,5.0,0.1,6.0,2.8253864402184015e-06,8.649887181959535e-08,2.910033366870017e-09,3.0719145778995243e-12,2.5065682463588202e-14,2.6202112105646057e-18,3.0251154818937753e-16
0.01,0.01,0.01,0.009,0.01,0.1,0.01,0.01,0.009,5.0,0.1,5.0,2.7059483363598046e-06,7.86724268786031e-08,2.56497931087115e-09,2.6360284389388443e-12,2.111176039434376e-14,2.141702371006227e-18,9.048260261387003e-20
0.02,0.01,0.02,0.02,0.02,0.2,0.01,0.02,0.02,8.0,0.2,7.0,3.159433670566211e-05,5.0235120481751265e-06,1.2421651390400937e-06,1.1465038943295007e-08,8.664737188717722e-10,9.377048434088202e-13,5.01507186870237e-16
0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,10.0,0.2,10.0,3.2905108226110275e-05,6.131122365279572e-06,1.7288092902944885e-06,1.7797582090201446e-08,1.4670658900649193e-09,1.6474618760819646e-12,1.0564372625070295e-15
0.03,0.03,0.02,0.03,0.02,0.3,0.03,0.02,0.03,10.0,0.3,10.0,9.428834425035949e-05,2.5474309656769888e-05,1.021188694444714e-05,1.4772506401513436e-07,1.6716269292411674e-08,2.936916960233463e-11,3.0156960255246207e-14
0.03,0.03,0.03,0.03,0.03,0.3,0.03,0.03,0.03,20.0,0.3,20.0,0.00011738977792605689,4.811146437965667e-05,3.5566890973832207e-05,1.0319875779965766e-06,2.463842517181588e-07,8.80973705012012e-10,1.6397581441540844e-12
0.04,0.03,0.04,0.04,0.03,0.4,0.03,0.04,0.04,20.0,0.4,20.0,0.00024990459135626437,0.00014174187967022972,0.0001723602160703112,8.75698801036898e-06,3.7991807353770488e-06,2.7619355511965204e-08,9.10234420607332e-11
0.04,0.04,0.04,0.04,0.04,0.4,0.04,0.04,0.04,20.0,0.4,20.0,0.0002770665535371196,0.00017821906723032653,0.00024074547659341905,1.360553754294078e-05,6.483365025525246e-06,5.1043286636579976e-08,1.8620736588066083e-10
0.05,0.05,0.05,0.04,0.05,0.5,0.05,0.05,0.04,20.0,0.5,20.0,0.0004614365607690838,0.00035630549020444335,0.0006596907889853478,5.4267850843338893e-05,3.8648336828646646e-05,4.5907119747403605e-07,2.2560390490528423e-09
0.06,0.06,0.05,0.06,0.05,0.6,0.06,0.05,0.06,30.0,0.6,30.0,0.000806139997786307,0.0007819910414837294,0.001773212524835829,0.00017123738656439928,0.00013611328221089697,2.0032893696939222e-06,1.1918150904529163e-08
0.06,0.07,0.07,0.06,0.07,0.6,0.07,0.07,0.06,30.0,0.6,30.0,0.0009027049448453719,0.001005952068715725,0.00310268998088638,0.00044311213593690584,0.0005518186742910682,1.3070220800258111e-05,1.1448757886271894e-07
0.08,0.07,0.08,0.08,0.07,0.8,0.07,0.08,0.08,40.0,0.8,40.0,0.0016545470969202144,0.002187738816523755,0.008736765888400728,0.0016523604004528396,0.002640598962133479,8.959591604605556e-05,1.0231377372941423e-06
0.09,0.09,0.08,0.09,0.1,0.9,0.09,0.08,0.09,50.0,0.9,50.0,0.0022784478508820214,0.0033651003523730858,0.015436131052385492,0.0033419973734277676,0.00583781014562087,0.00021907709813194333,2.765577499661193e-06
0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,60.0,1.0,70.0,0.00293219270507339,0.0045740494806814766,0.02383960965600146,0.006072637348375836,0.01255923874893258,0.0005957880815632804,9.001587791507493e-06
0.1,0.1,0.2,0.1,0.2,1.0,0.1,0.2,0.1,80.0,1.0,70.0,0.003048791863421651,0.005073449014423598,0.035640094451322706,0.014976534666677461,0.058500438016855706,0.0066900561221830065,0.0002099293860671217
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,80.0,2.0,80.0,0.005975313078784245,0.011217892729189417,0.09817895274389118,0.058013738308088335,0.3392712626018045,0.09151677051169642,0.009831578969547143
0.3,0.3,0.3,0.3,0.2,3.0,0.3,0.3,0.3,100.0,3.0,100.0,0.008627012214184547,0.015658427500084317,0.14368565035047184,0.09791765610137458,0.7647366943406791,0.4646326104941858,0.11688659783198961
0.4,0.3,0.4,0.4,0.4,4.0,0.3,0.4,0.4,200.0,4.0,200.0,0.011914227153088543,0.019941494038030805,0.18307492816113416,0.1309918895917932,1.1633305233159914,1.1717768711133223,0.5559963946242377
