FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM)
0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,10.0,0.2,10.0,3.290511019550077e-05,6.131122343393392e-06,1.7288083046582644e-06,1.7797442288978177e-08,1.4671579374867441e-09,1.6491937187458214e-12,1.5746716278133454e-10
0.03,0.03,0.02,0.03,0.02,0.3,0.03,0.02,0.03,10.0,0.3,10.0,9.428834700889924e-05,2.547430922623997e-05,1.0211885715747945e-05,1.4772488959787686e-07,1.6716410743604905e-08,2.9373504469341844e-11,3.018556223512501e-14
0.03,0.03,0.03,0.03,0.03,0.3,0.03,0.03,0.03,20.0,0.3,20.0,0.00011738979896743726,4.8111464783044694e-05,3.556688615482955e-05,1.0319872142948958e-06,2.4638444621364494e-07,8.810026784448247e-10,1.0927785268312343e-11
0.04,0.03,0.04,0.04,0.03,0.4,0.03,0.04,0.04,20.0,0.4,20.0,0.0002499046279050548,0.00014174188594850152,0.00017236018225648663,8.756985476743997e-06,3.799176460172435e-06,2.761956394690088e-08,9.103193453997893e-11
0.04,0.04,0.04,0.04,0.04,0.4,0.04,0.04,0.04,20.0,0.4,20.0,0.0002770665778270092,0.0001782190514534043,0.00024074541991137358,1.360553384626474e-05,6.483355427744589e-06,5.104338718001466e-08,1.862164522573873e-10
0.05,0.05,0.05,0.04,0.05,0.5,0.05,0.05,0.04,20.0,0.5,20.0,0.00046143657955473273,0.0003563054574075463,0.0006596906452278077,5.426784899050769e-05,3.8648339466162306e-05,4.5907145581250924e-07,2.2560653183501257e-09
0.06,0.06,0.05,0.06,0.05,0.6,0.06,0.05,0.06,30.0,0.6,30.0,0.0008061400354268534,0.0007819909308215366,0.001773211506168451,0.00017123723985543822,0.00013611321064528018,2.003291624028408e-06,1.1918243607884778e-08
0.06,0.07,0.07,0.06,0.07,0.6,0.07,0.07,0.06,30.0,0.6,30.0,0.0009027049830091728,0.0010059519108518507,0.003102688052271887,0.00044311171786151117,0.0005518184063699771,1.3070240393705376e-05,1.1448831336393994e-07
0.08,0.07,0.08,0.08,0.07,0.8,0.07,0.08,0.08,40.0,0.8,40.0,0.0016545472215277733,0.0021877385250976085,0.008736761015172198,0.0016523590629467103,0.002640598300653311,8.95960632638788e-05,1.0231438783750517e-06
0.09,0.09,0.08,0.09,0.1,0.9,0.09,0.08,0.09,50.0,0.9,50.0,0.0022784480399951697,0.003365099907897234,0.015436123316694495,0.003341995128739392,0.005837810039228668,0.00021907748391446487,2.7655924988183765e-06
0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,60.0,1.0,70.0,0.0029321929855800955,0.004574048971598847,0.02383959983287342,0.006072634379854396,0.012559241335738538,0.0005957891341271021,9.001630530949632e-06
0.1,0.1,0.2,0.1,0.2,1.0,0.1,0.2,0.1,80.0,1.0,70.0,0.0030487920284262117,0.005073448600395159,0.035640085904904154,0.01497653127586134,0.058500447263962106,0.0066900623463225254,0.00020992972486198413
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,80.0,2.0,80.0,0.005975313092221898,0.011217892139393688,0.09817894348585478,0.05801373671380746,0.3392712701387962,0.09151677265198305,0.009831583091620091
0.01,0.01,0.01,0.009,0.01,0.1,0.01,0.01,0.009,5.0,0.1,5.0,2.705949836743333e-06,7.867242365733103e-08,2.564996046708103e-09,2.6346807048452414e-12,2.0979731916545862e-14,2.6266784612990786e-11,8.163922933521648e-10
0.3,0.3,0.3,0.3,0.2,3.0,0.3,0.3,0.3,100.0,3.0,100.0,0.008627012556842742,0.01565842808649867,0.14368565072852463,0.09791765405596041,0.7647366458627857,0.46463260992739674,0.11688661136127564
0.4,0.3,0.4,0.4,0.4,4.0,0.3,0.4,0.4,200.0,4.0,200.0,0.011914227414169946,0.019941494971672503,0.18307493862022545,0.13099189746244852,1.163330560488921,1.1717767715341247,0.5559964289083748
0.3,0.3,0.3,0.3,0.3,3.0,0.3,0.3,0.3,200.0,3.0,200.0,0.00814005547925092,0.0149258135672979,0.13591738855276314,0.08992531475363624,0.7006645393105078,0.4883968007029834,0.20762056319004785
0.5,0.5,0.5,0.5,0.5,5.0,0.5,0.5,0.5,300.0,5.0,200.0,0.012757879781844592,0.021452737226971295,0.19940252545452047,0.14280720039113368,1.3563757223609425,1.815310087185648,1.5270469312335226
0.8,0.7,0.8,0.9,0.8,8.0,0.7,0.8,0.9,400.0,8.0,400.0,0.02868362523703098,0.044492374137715965,0.40772561133631263,0.30453768620067284,3.0988418299437592,4.666385125820769,3.6381106283044176
2.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,700.0,20.0,700.0,0.13235341375081192,0.19849298102948426,1.7351281696588825,1.2735561095293186,10.50706324303511,10.916817513520536,4.116036698745171
0.6,0.7,0.7,0.7,0.7,6.0,0.7,0.7,0.7,400.0,6.0,300.0,0.015224390538551057,0.024848917694529977,0.23285415988914454,0.17108516472792767,1.7560292243175069,2.7943634917091376,3.2243365095064633
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,600.0,10.0,700.0,0.032605056739928556,0.05008473786442987,0.45984466015365505,0.3470053233267348,3.725997164646572,6.246655487669904,6.240735956547942
2.0,2.0,2.0,2.0,2.0,20.0,2.0,2.0,2.0,900.0,20.0,900.0,0.10443079126804507,0.1566163055426935,1.4036825139647058,1.0571139291065448,10.489587877267287,16.14278592425058,12.579727917305775
