FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM)
0.02,0.01,0.02,0.02,0.02,0.2,0.01,0.02,0.02,8.0,0.2,7.0,3.159434183731675e-05,5.023513543884524e-06,1.2421669409365797e-06,1.1465074061475667e-08,8.662358891705964e-10,9.346501676827833e-13,4.908237708377811e-16
0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,10.0,0.2,10.0,3.290511196603712e-05,6.131123078147879e-06,1.7288098794357699e-06,1.7797659987040283e-08,1.4669744770001863e-09,1.6459376066269134e-12,1.0501259376732943e-15
0.03,0.03,0.02,0.03,0.02,0.3,0.03,0.02,0.03,10.0,0.3,10.0,9.428834540798421e-05,2.547431069483614e-05,1.0211886434133364e-05,1.4772554967170987e-07,1.671608396324081e-08,2.9360558938256954e-11,3.009923658540915e-14
0.03,0.03,0.03,0.03,0.03,0.3,0.03,0.03,0.03,20.0,0.3,20.0,0.00011738978240267505,4.81114633736422e-05,3.556688357728117e-05,1.0319893960808337e-06,2.463856117428212e-07,8.809320534384834e-10,6.472154806634911e-12
0.04,0.03,0.04,0.04,0.03,0.4,0.03,0.04,0.04,20.0,0.4,20.0,0.0002499046045050259,0.00014174188385385002,0.00017236016999581415,8.756990969824209e-06,3.799197002903953e-06,2.76192265520233e-08,9.100921046049501e-11
0.04,0.04,0.04,0.04,0.04,0.4,0.04,0.04,0.04,20.0,0.4,20.0,0.00027706655530254556,0.0001782190618093543,0.0002407454615786229,1.3605545145315168e-05,6.483387441162353e-06,5.104328002395146e-08,1.861920429907498e-10
0.05,0.05,0.05,0.04,0.05,0.5,0.05,0.05,0.04,20.0,0.5,20.0,0.0004614365537922804,0.00035630547911803237,0.0006596907921280403,5.426786607357133e-05,3.864841678903166e-05,4.590734879279579e-07,2.2560052989846396e-09
0.06,0.06,0.05,0.06,0.05,0.6,0.06,0.05,0.06,30.0,0.6,30.0,0.0008061399899641073,0.0007819910261565125,0.0017732121421493378,0.00017123729252760728,0.00013611332534261487,2.0032960256591977e-06,1.1918086912019921e-08
0.06,0.07,0.07,0.06,0.07,0.6,0.07,0.07,0.06,30.0,0.6,30.0,0.0009027049349793028,0.0010059520042007154,0.003102689147790321,0.00044311184827153135,0.0005518184594395818,1.3070248541866037e-05,1.1448802896592888e-07
0.08,0.07,0.08,0.08,0.07,0.8,0.07,0.08,0.08,40.0,0.8,40.0,0.0016545471061864326,0.002187738637466799,0.008736763605843556,0.0016523595190007074,0.002640597927053487,8.959601611125388e-05,1.0231411723060246e-06
0.09,0.09,0.08,0.09,0.1,0.9,0.09,0.08,0.09,50.0,0.9,50.0,0.0022784478436248617,0.0033651001880417087,0.015436129245618435,0.0033419962834258013,0.005837808015618172,0.00021907714334692694,2.7655805336792262e-06
0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,60.0,1.0,70.0,0.0029321927242851585,0.004574049380089954,0.023839608705454703,0.006072636462614202,0.0125592366125193,0.0005957880658976518,9.001589334977243e-06
0.1,0.1,0.2,0.1,0.2,1.0,0.1,0.2,0.1,80.0,1.0,70.0,0.0030487918577985474,0.005073448898646616,0.0356400935134,0.014976534417492629,0.05850043916302282,0.0066900565318138115,0.00020992936575522431
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,80.0,2.0,80.0,0.005975312983819284,0.011217892501041623,0.09817895152817549,0.05801373851712452,0.339271270918448,0.09151676794119405,0.009831579100962617
0.3,0.3,0.3,0.3,0.2,3.0,0.3,0.3,0.3,100.0,3.0,100.0,0.008627012178937151,0.01565842755681476,0.14368565182312282,0.09791765520108665,0.7647366652297108,0.4646326212887454,0.11688660070615062
0.4,0.3,0.4,0.4,0.4,4.0,0.3,0.4,0.4,200.0,4.0,200.0,0.011914227238037435,0.019941494573877002,0.18307493704817068,0.13099189767000038,1.1633305734760446,1.1717767641705883,0.5559964151435064
0.3,0.3,0.3,0.3,0.3,3.0,0.3,0.3,0.3,200.0,3.0,200.0,0.00814005528859894,0.014925813693641952,0.13591739595613986,0.08992531603915997,0.7006645207673738,0.48839681051412637,0.20762055735498758
2.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,700.0,20.0,700.0,0.13235341359103062,0.1984929796265778,1.7351281430506347,1.2735560984173508,10.507063306179349,10.916817521788019,4.116036741742437
0.5,0.5,0.5,0.5,0.5,5.0,0.5,0.5,0.5,300.0,5.0,200.0,0.012757879711404187,0.021452737119855108,0.19940252579834375,0.14280720188641768,1.3563757325354426,1.8153100723733975,1.5270469024118727
0.8,0.7,0.8,0.9,0.8,8.0,0.7,0.8,0.9,400.0,8.0,400.0,0.028683625114987225,0.0444923738767104,0.4077256060363427,0.30453767885852556,3.098841723790147,4.666385033501543,3.6381108195123733
0.6,0.7,0.7,0.7,0.7,6.0,0.7,0.7,0.7,400.0,6.0,300.0,0.015224390495343002,0.024848917641711786,0.23285415927118977,0.17108516352701053,1.7560291857529258,2.7943634392972743,3.2243365886985034
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,600.0,10.0,700.0,0.032605056643794074,0.050084737794333097,0.45984465864070684,0.34700532161155667,3.725997115628992,6.2466552736323235,6.2407361629801
2.0,2.0,2.0,2.0,2.0,20.0,2.0,2.0,2.0,900.0,20.0,900.0,0.10443079252725311,0.1566163076896714,1.4036825304151588,1.0571139370793443,10.489587905667326,16.142785754017797,12.579728315282221
