FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM)
0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,5.0,0.1,6.0,2.8253893759326042e-06,8.649895027852344e-08,2.9100840456270282e-09,3.068425710397838e-12,2.4719772558345233e-14,2.3632192882782745e-18,1.261372295760454e-22
0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,7.0,0.1,7.0,2.7074522179153874e-06,8.498571677283315e-08,2.963523185991139e-09,3.247154738908798e-12,2.7121459653511024e-14,2.675725560991603e-18,3.2348304001769495e-20
0.02,0.01,0.02,0.02,0.02,0.2,0.01,0.02,0.02,8.0,0.2,7.0,3.159434768491188e-05,5.023514346478017e-06,1.2421710219778093e-06,1.1465127483620642e-08,8.65771589949468e-10,9.287305192011567e-13,6.150017806384852e-14
0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,10.0,0.2,10.0,3.29051134212015e-05,6.131123492687181e-06,1.7288100767786024e-06,1.779770357165644e-08,1.466916141404748e-09,1.6450387138931477e-12,1.0464595485033945e-15
0.03,0.03,0.02,0.03,0.02,0.3,0.03,0.02,0.03,10.0,0.3,10.0,9.42883467859476e-05,2.547431183866304e-05,1.0211886311317371e-05,1.4772567107066254e-07,1.671598186487846e-08,2.935727931039306e-11,3.0078133061524964e-14
0.03,0.03,0.03,0.03,0.03,0.3,0.03,0.03,0.03,20.0,0.3,20.0,0.00011738977968768072,4.8111464307758054e-05,3.5566884366451914e-05,1.0319900395354447e-06,2.4638605800243704e-07,8.809131982484397e-10,1.6386359146462631e-12
0.04,0.03,0.04,0.04,0.03,0.4,0.03,0.04,0.04,20.0,0.4,20.0,0.0002499046004982005,0.00014174188580289124,0.00017236017059346487,8.75699210072824e-06,3.7992013811538472e-06,2.7619120435392652e-08,9.10033189198703e-11
0.04,0.04,0.04,0.04,0.04,0.4,0.04,0.04,0.04,20.0,0.4,20.0,0.00027706655463787303,0.00017821906647254426,0.0002407454717965102,1.3605548307518964e-05,6.483396374167824e-06,5.104328492881158e-08,1.8618601719868842e-10
0.05,0.05,0.05,0.04,0.05,0.5,0.05,0.05,0.04,20.0,0.5,20.0,0.00046143655353626014,0.00035630548704477957,0.000659690826331228,5.42678737977775e-05,3.864845187985124e-05,4.590745901453738e-07,2.25599235765525e-09
0.06,0.06,0.05,0.06,0.05,0.6,0.06,0.05,0.06,30.0,0.6,30.0,0.0008061399847285231,0.0007819910583915745,0.0017732123520968043,0.00017123731868210317,0.00013611338708970652,2.003298404097231e-06,1.1918049078624758e-08
0.06,0.07,0.07,0.06,0.07,0.6,0.07,0.07,0.06,30.0,0.6,30.0,0.0009027049236897511,0.0010059520435791163,0.0031026895411781735,0.00044311190054839865,0.0005518185381955318,1.3070259307628326e-05,1.1448801672855765e-07
0.08,0.07,0.08,0.08,0.07,0.8,0.07,0.08,0.08,40.0,0.8,40.0,0.0016545470832680415,0.002187738689304229,0.008736764529859132,0.0016523596806571458,0.0026405978810724985,8.959602161150374e-05,1.023140767693451e-06
0.09,0.09,0.08,0.09,0.1,0.9,0.09,0.08,0.09,50.0,0.9,50.0,0.0022784478144078513,0.0033651000979701357,0.0154361292695778,0.0033419963852196373,0.005837808525549226,0.00021907720606842044,2.7655810352872523e-06
0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,60.0,1.0,70.0,0.0029321926863515426,0.0045740491414158575,0.0238396073686125,0.006072636419602231,0.012559238390487403,0.0005957882912456678,9.001594292859401e-06
0.1,0.1,0.2,0.1,0.2,1.0,0.1,0.2,0.1,80.0,1.0,70.0,0.0030487918363029977,0.005073448775266306,0.03564009239111333,0.014976534253453116,0.05850044165719067,0.006690057429929462,0.00020992938963704767
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,80.0,2.0,80.0,0.005975312965114975,0.011217892445551055,0.098178951189561,0.058013738528230864,0.3392712725265203,0.09151676790631603,0.009831579195747132
0.3,0.3,0.3,0.3,0.2,3.0,0.3,0.3,0.3,100.0,3.0,100.0,0.008627012174728261,0.015658427554071676,0.14368565202387193,0.09791765509071326,0.7647366615369562,0.46463262214773926,0.11688660139628071
0.4,0.3,0.4,0.4,0.4,4.0,0.3,0.4,0.4,200.0,4.0,200.0,0.011914227274448864,0.019941494686613687,0.1830749388035682,0.13099189916944226,1.1633305777259617,1.1717767394265712,0.5559964210197916
0.3,0.3,0.3,0.3,0.3,3.0,0.3,0.3,0.3,200.0,3.0,200.0,0.0081400552714379,0.014925813651302466,0.13591739573402203,0.08992531596421409,0.700664517927034,0.4883968120484437,0.20762055869700505
2.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,700.0,20.0,700.0,0.13235341354639835,0.19849297946411035,1.735128140132278,1.273556095406906,10.507063275808433,10.91681761254239,4.1160367523861625
0.5,0.5,0.5,0.5,0.5,5.0,0.5,0.5,0.5,300.0,5.0,200.0,0.012757879719298775,0.02145273719015835,0.19940252731366467,0.1428072041075283,1.3563757558087886,1.8153100327719909,1.5270468906733374
0.8,0.7,0.8,0.9,0.8,8.0,0.7,0.8,0.9,400.0,8.0,400.0,0.028683625035019696,0.04449237370779827,0.4077256034705014,0.3045376759780541,3.0988416757864403,4.666385088395014,3.6381108562088302
0.6,0.7,0.7,0.7,0.7,6.0,0.7,0.7,0.7,400.0,6.0,300.0,0.015224390377413478,0.024848917440895804,0.23285415734533388,0.17108516390736508,1.7560291944581057,2.7943635080435687,3.224336562357529
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,600.0,10.0,700.0,0.03260505673450693,0.05008473786129739,0.4598446584969665,0.3470053166288194,3.725997055230868,6.246655257671897,6.240736272501468
2.0,2.0,2.0,2.0,2.0,20.0,2.0,2.0,2.0,1000.0,20.0,1000.0,0.09845135610826634,0.14757895124565226,1.3259672406599838,1.0013159702899526,10.180537198723437,16.2705548455361,13.753104823563282
