FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM),C18_FA (uM),C12_FA_unsat (uM),C14_FA_unsat (uM),C16_FA_unsat (uM),C18_FA_unsat (uM)
0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,10.0,0.2,10.0,3.290509405085931e-05,6.131117490335842e-06,1.7288077427964382e-06,7.76432250688155e-09,6.534302515420772e-10,7.459094213299457e-13,3.0936357046128766e-16,1.0466080654256823e-20,4.083012461415079e-10,2.844719210410695e-13,9.948543266637651e-17,2.1517991158052598e-20
0.04,0.04,0.04,0.04,0.04,0.4,0.04,0.04,0.04,20.0,0.4,20.0,0.00027699142888887925,0.0001781551967458377,0.0002406480558812707,5.564121790259794e-06,2.7121980664264815e-06,2.1812595313112282e-08,5.868238701192348e-11,1.474192218459932e-14,1.7227213364796563e-06,8.082042333234492e-09,1.7330566801757453e-11,2.00015258093369e-14
0.05,0.05,0.05,0.04,0.05,0.5,0.05,0.05,0.04,20.0,0.5,20.0,0.00046101839788109043,0.00035589411825092456,0.0006588483701708012,2.010544108420968e-05,1.4556960716319311e-05,1.7601948519277056e-07,6.762974195106644e-10,1.6903404741809398e-13,8.616214116280241e-06,5.496666539588033e-08,1.5989246533671552e-10,2.424722273004889e-13
0.06,0.06,0.05,0.06,0.05,0.6,0.06,0.05,0.06,30.0,0.6,30.0,0.0008050975473592328,0.0007807743020633372,0.0017703808697170458,7.323918182669333e-05,5.9674568511777414e-05,8.997821517000542e-07,4.40976397975522e-09,1.3504224701508173e-12,3.948056311200571e-05,3.6711201222100916e-07,1.447571759004429e-09,2.722539688462472e-12
0.06,0.07,0.07,0.06,0.07,0.6,0.07,0.07,0.06,30.0,0.6,30.0,0.000899333349914461,0.0010016645495309622,0.0030893355528148663,0.00016612882200034627,0.00020944741212989496,5.048067143788087e-06,3.7128563924657e-08,1.6941316926640417e-11,0.0001317894061824923,1.7238351633888183e-06,9.652697581050282e-09,2.6412689727557358e-11
0.03,0.03,0.02,0.03,0.02,0.3,0.03,0.02,0.03,10.0,0.3,10.0,9.4288327437124e-05,2.5474304533446858e-05,1.021188518807456e-05,7.488173657340448e-08,8.674043055054772e-09,1.553671214305229e-11,1.0521186899221628e-14,3.505647607827485e-09,5.725069344378981e-09,7.136374436770566e-12,4.186326062801482e-15,1.456788553266567e-18
0.08,0.07,0.08,0.08,0.07,0.8,0.07,0.08,0.08,40.0,0.8,40.0,0.0016465271397379216,0.0021763378816414855,0.008696868430353954,0.0006301747982515107,0.0010263393412043298,3.5663421295354106e-05,3.6964990482843893e-07,2.2922075709085388e-10,0.0007980624035437453,1.5994537804343742e-05,1.283819045858111e-07,4.546032341159979e-10
0.09,0.09,0.08,0.09,0.1,0.9,0.09,0.08,0.09,50.0,0.9,50.0,0.002262841045195991,0.0033414541572559012,0.015345923475512118,0.001424042321435208,0.002517787148553322,9.613812727608139e-05,1.1150181042825737e-06,7.556339464249422e-10,0.0015653554998620084,3.575725283479597e-05,3.2387703277492127e-07,1.299221240072189e-09
0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,60.0,1.0,70.0,0.0029045897549266663,0.004532852248607527,0.02368524663365437,0.0024244344980565414,0.005037582183414373,0.00024211316783408858,3.4252254677624847e-06,2.7825634772353136e-09,0.003363698248174547,9.285037234399943e-05,1.0034139131320928e-06,4.78040978930806e-09
0.04,0.03,0.04,0.04,0.03,0.4,0.03,0.04,0.04,20.0,0.4,20.0,0.0002498830325797554,0.0001417249775321741,0.00017233715896247955,3.4517501268499004e-06,1.542273651615103e-06,1.1512751722568641e-08,2.8723387218566275e-11,1.3785574507219246e-09,1.2698703514040093e-06,5.591763335736274e-09,1.1202539796738013e-11,1.4843048338056687e-13
