FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM),C18_FA (uM)
0.05,0.05,0.05,0.04,0.05,0.5,0.05,0.05,0.04,20.0,0.5,20.0,0.00046143656165530263,0.0003563054866298056,0.0006596907766550401,5.4267850422575345e-05,3.8648333498287186e-05,4.5907111906240576e-07,1.7343327646115803e-09,4.271585246854925e-13
0.06,0.07,0.07,0.06,0.07,0.6,0.07,0.07,0.06,30.0,0.6,30.0,0.0009027049670825733,0.0010059521022465652,0.003102690105517756,0.00044311215704427446,0.0005518187173188062,1.3070223734960743e-05,9.408774711978173e-08,4.2118012932858056e-11
0.08,0.07,0.08,0.08,0.07,0.8,0.07,0.08,0.08,40.0,0.8,40.0,0.0016545472807576649,0.002187739144467102,0.008736767559735991,0.0016523606816544857,0.002640599218185207,8.959591041211157e-05,9.009583902466649e-07,5.456523937918364e-10
0.06,0.06,0.05,0.06,0.05,0.6,0.06,0.05,0.06,30.0,0.6,30.0,0.0008061400081906464,0.0007819910399329818,0.001773212462437474,0.00017123737928462153,0.00013611328455442488,2.003289232868769e-06,9.602122050622834e-09,1.4469873964650372e-10
0.09,0.09,0.08,0.09,0.1,0.9,0.09,0.08,0.09,50.0,0.9,50.0,0.0022784483828489333,0.0033651013574299326,0.015436137110992128,0.0033419986127306137,0.0058378119394810815,0.00021907712074819958,2.47333161640357e-06,1.6415242362716647e-09
0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,50.0,1.0,50.0,0.0027135023644718884,0.004275515491611472,0.02291556517509805,0.006108853759381714,0.013491301708363846,0.0006967483065936439,1.0425447083393625e-05,9.028599647530872e-09
0.1,0.1,0.2,0.1,0.2,1.0,0.1,0.2,0.1,80.0,1.0,70.0,0.003048828118254165,0.0050735181318617,0.035640690716137596,0.01497676297778065,0.05850101650383125,0.006690049603098444,0.0001931857297386374,3.2375616753821204e-07
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,80.0,2.0,80.0,0.0059758029459273726,0.011218936218446779,0.09819500727165309,0.058027659289269354,0.3393792459235883,0.09153650872105774,0.009053439134521524,4.6195556183462554e-05
0.3,0.3,0.3,0.3,0.2,3.0,0.3,0.3,0.3,100.0,3.0,100.0,0.008630048417753451,0.01566358273121065,0.1437533746796766,0.09799071266512087,0.7654792354192413,0.4649116198954553,0.11070871363210977,0.0013160714499098971
0.4,0.3,0.4,0.4,0.4,4.0,0.3,0.4,0.4,200.0,4.0,200.0,0.011924309131624143,0.019958637531228667,0.18326993264780372,0.1311928479092322,1.1653842144775164,1.1731206376059315,0.5268941599830061,0.01286103705859383
0.3,0.3,0.3,0.3,0.3,3.0,0.3,0.3,0.3,200.0,3.0,200.0,0.008147445785030322,0.014937664172053831,0.13605785466486395,0.09007338393612883,0.7026179440382255,0.4900173971326395,0.18915206860261272,0.004059565148447538
2.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,700.0,20.0,700.0,0.13235709307282256,0.19849888971878984,1.7351985782783432,1.2737155295465423,10.506888910511032,10.91202363000681,4.019714491123045,0.08585801697835682
