FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM),C18_FA (uM)
0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,5.0,0.1,6.0,2.8253898466487966e-06,8.649896070458961e-08,2.9100934249963626e-09,3.0677877421421393e-12,2.4662720731135114e-14,2.3258486047224386e-18,9.064008411648263e-12,5.511742656099106e-13
0.03,0.03,0.02,0.03,0.02,0.3,0.03,0.02,0.03,10.0,0.3,10.0,9.428834667432513e-05,2.5474311749775335e-05,1.021188621987755e-05,1.477256591389287e-07,1.6715986765526045e-08,2.9357490817740796e-11,1.9573562281891996e-14,9.977152807951464e-19
0.04,0.03,0.04,0.04,0.03,0.4,0.03,0.04,0.04,20.0,0.4,20.0,0.0002499046006525107,0.0001417418856297228,0.00017236017138145903,8.756992177995623e-06,3.799201257481648e-06,2.7619127200652687e-08,6.743130355430445e-11,1.1603711673674948e-14
0.04,0.04,0.04,0.04,0.04,0.4,0.04,0.04,0.04,20.0,0.4,20.0,0.0002770665552042491,0.0001782190667038188,0.00024074547123097855,1.3605548456248053e-05,6.483397626788107e-06,5.104331931439739e-08,1.3485476966020685e-10,4.923493209261896e-11
0.05,0.05,0.05,0.04,0.05,0.5,0.05,0.05,0.04,20.0,0.5,20.0,0.0004614365537800729,0.0003563054864513559,0.0006596908250050548,5.426787335368502e-05,3.8648446326964265e-05,4.5907436070238554e-07,1.7342927101985313e-09,4.27067076509946e-13
0.06,0.06,0.05,0.06,0.05,0.6,0.06,0.05,0.06,30.0,0.6,30.0,0.0008061399874011669,0.0007819910588272608,0.001773212344923554,0.00017123731858216163,0.0001361133901049898,2.0032985318079375e-06,9.602031072962019e-09,2.886915516192122e-12
0.06,0.07,0.07,0.06,0.07,0.6,0.07,0.07,0.06,30.0,0.6,30.0,0.0009027049448737454,0.0010059520708229877,0.0031026896458459037,0.0004431119173623284,0.0005518185551933587,1.3070257899203289e-05,9.408807196887293e-08,4.211705651618016e-11
0.08,0.07,0.08,0.08,0.07,0.8,0.07,0.08,0.08,40.0,0.8,40.0,0.0016545472631649062,0.002187739000645343,0.00873676616624243,0.001652359979633277,0.0026405983420152565,8.959602871402203e-05,9.00961445704093e-07,5.456491941401812e-10
0.09,0.09,0.08,0.09,0.1,0.9,0.09,0.08,0.09,50.0,0.9,50.0,0.002278448336659467,0.0033651010806287976,0.015436135270305943,0.0033419976116888933,0.005837810391121398,0.00021907723407826543,2.473334551084108e-06,1.641513682369597e-09
0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,60.0,1.0,70.0,0.0029321944484581274,0.004574052531385486,0.023839630336263493,0.006072641745392766,0.012559246496318626,0.0005957883271184736,8.199421916874778e-06,6.517930045163457e-09
