FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM),C18_FA (uM),C20_FA (uM)
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,80.0,2.0,80.0,0.005975803942062932,0.011218938223996886,0.09819503986567193,0.05802768880353659,0.3393795195894311,0.09153657519723164,0.00905343355202709,4.362385803079795e-05,9.981510565131325e-08
0.3,0.3,0.3,0.3,0.2,3.0,0.3,0.3,0.3,100.0,3.0,100.0,0.008630064633220025,0.01566360713619164,0.14375366965983927,0.09799103048950526,0.76548311952231,0.46491380000568905,0.11070793860516275,0.0012743382474475055,6.777754097417798e-06
0.4,0.3,0.4,0.4,0.4,4.0,0.3,0.4,0.4,200.0,4.0,200.0,0.011924435303551806,0.01995884087209294,0.18327197204055082,0.13119465070454708,1.1654035910402896,1.1731409221156641,0.5268790385206357,0.012501468939836394,0.00013990901050986014
0.3,0.3,0.3,0.3,0.3,3.0,0.3,0.3,0.3,200.0,3.0,200.0,0.008147516489160978,0.014937768591943935,0.13605896339346607,0.09007446286824204,0.702634843153433,0.49003654171654976,0.1891478780754762,0.0038386907315034074,3.6401919982562766e-05
2.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,700.0,20.0,700.0,0.13235713875814922,0.19849894548192698,1.7351987797628416,1.2737165490883078,10.506879728285858,10.911979067602832,4.0196645814771745,0.08486752217153257,0.0009270505879887472
0.4,0.5,0.4,0.4,0.5,4.0,0.5,0.4,0.4,200.0,4.0,200.0,0.010129233996750656,0.017819358733867155,0.16651261192829325,0.11641451260551776,1.0369235127756633,1.168335967307668,0.7490247914926682,0.025347554305153328,0.00040794305955392393
0.8,0.7,0.8,0.9,0.8,8.0,0.7,0.8,0.9,400.0,8.0,400.0,0.028694976306574624,0.04450891340972323,0.40790962744177317,0.30479960468082773,3.1007455935547243,4.663505288742619,3.443570109066622,0.15379269566754433,0.0036366057315773827
0.6,0.6,0.6,0.6,0.5,6.0,0.6,0.6,0.6,300.0,6.0,300.0,0.017398012401838202,0.02834921484997999,0.26281672921470806,0.1913983797725118,1.8738950200641054,2.62807873847953,1.9465787920015278,0.08194655957614694,0.0017226537678626344
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,10.0,500.0,0.036310632411380654,0.0558735915471281,0.512291513334544,0.38525633516066865,4.0268931030827035,6.447076023037915,5.239714091574155,0.2611550464042745,0.007032772749311257
0.6,0.7,0.7,0.7,0.7,6.0,0.7,0.7,0.7,400.0,6.0,300.0,0.015227561573548846,0.02485409036662297,0.23295735745652013,0.1713177554806757,1.7586889029958273,2.7976089663683332,2.948173226158025,0.1934259818386371,0.006653771487758456
2.0,2.0,2.0,2.0,2.0,20.0,2.0,2.0,2.0,900.0,20.0,900.0,0.1044374709475678,0.15662629697645114,1.4038519387353394,1.0574412629552838,10.491687336301705,16.128471992973232,11.921339844301732,0.5753836490586802,0.01579979673301573
0.04,0.04,0.04,0.04,0.04,0.4,0.04,0.04,0.04,20.0,0.4,20.0,0.0002770665649499626,0.0001782190890743833,0.00024074552932195554,1.36055544315498e-05,6.483403535006431e-06,5.104335049037926e-08,1.3485445530923671e-10,3.091836172069896e-11,2.7321626183862135e-09
0.03,0.03,0.02,0.03,0.02,0.3,0.03,0.02,0.03,10.0,0.3,10.0,9.428835171939569e-05,2.5474312762638935e-05,1.0211887936222109e-05,1.4772538037009597e-07,1.6716128287498586e-08,2.9362782220217696e-11,1.959679849743097e-14,1.7862249155173372e-12,1.6274081695792693e-10
