FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM),C18_FA (uM),C20_FA (uM)
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,80.0,2.0,80.0,0.0059758039986466,0.011218937679919695,0.09819503022933602,0.0580276869257185,0.3393795270136318,0.0915365774988538,0.00905343786957375,4.3623927462775375e-05,9.981541945405101e-08
0.3,0.3,0.3,0.3,0.2,3.0,0.3,0.3,0.3,100.0,3.0,100.0,0.008630065032032837,0.015663607827233472,0.14375367061626884,0.09799102824492886,0.7654830659586244,0.46491380064060117,0.11070795231829815,0.001274338315435615,6.777752462559653e-06
0.4,0.3,0.4,0.4,0.4,4.0,0.3,0.4,0.4,200.0,4.0,200.0,0.011924435587382907,0.01995884189385021,0.18327198327843422,0.13119465812223807,1.1654036060483444,1.1731408245264614,0.5268790722721809,0.01250147142912515,0.00013990901458853176
0.3,0.3,0.3,0.3,0.3,3.0,0.3,0.3,0.3,200.0,3.0,200.0,0.008147516540477797,0.014937768203590586,0.13605895450854835,0.09007446135198013,0.702634845054688,0.49003653595442503,0.18914788751698983,0.003838691051497604,3.640192447261993e-05
0.4,0.5,0.4,0.4,0.5,4.0,0.5,0.4,0.4,200.0,4.0,200.0,0.010129234037453333,0.017819358731912493,0.166512608939829,0.11641451260487064,1.0369235404930723,1.1683359331952616,0.7490248024149522,0.025347557009296497,0.0004079430906873975
0.5,0.5,0.5,0.5,0.5,5.0,0.5,0.5,0.5,300.0,5.0,200.0,0.01276432944424701,0.021466443460947542,0.19961124296046884,0.14309745896454915,1.3599195066058207,1.8199461387617766,1.4154882445172754,0.06270875774125424,0.0013602074968619945
0.04,0.04,0.04,0.04,0.04,0.4,0.04,0.04,0.04,20.0,0.4,20.0,0.000277066597726759,0.00017821910191846417,0.0002407455391349474,1.3605544670842875e-05,6.483373591030514e-06,5.1043387515897364e-08,1.348683654534457e-10,3.0122701642783054e-09,1.355963137788964e-10
0.8,0.7,0.8,0.9,0.8,8.0,0.7,0.8,0.9,400.0,8.0,400.0,0.02869497609883673,0.04450891302307192,0.4079096243516583,0.30479960182090443,3.1007455261412087,4.663505673347832,3.4435700803884615,0.1537926647520622,0.003636605011716572
0.6,0.7,0.7,0.7,0.7,6.0,0.7,0.7,0.7,400.0,6.0,300.0,0.015227561239306978,0.024854089826465947,0.23295735207531792,0.17131775572300842,1.75868890550919,2.7976092872226763,2.9481730731716755,0.19342594718227407,0.006653772174754232
2.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,700.0,20.0,700.0,0.13235713869362872,0.1984989465855731,1.735198800637402,1.2737165525776453,10.506879557337214,10.911979304821612,4.0196645618308535,0.08486751169343468,0.000927050361297662
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,10.0,500.0,0.0363106325864078,0.05587359185177262,0.5122915190246181,0.38525633707979756,4.026893135052538,6.447076296336249,5.2397139820325265,0.26115499254338803,0.007032770522661649
2.0,2.0,2.0,2.0,2.0,20.0,2.0,2.0,2.0,900.0,20.0,900.0,0.10443747057127553,0.15662629563625285,1.4038519296635468,1.057441260846769,10.49168737118891,16.128472218005935,11.921339534168633,0.5753835467422345,0.015799790340398592
0.1,0.1,0.2,0.1,0.2,1.0,0.1,0.2,0.1,80.0,1.0,70.0,0.003048828237263053,0.005073517622645872,0.03564068180176949,0.014976759355849403,0.05850102624799489,0.006690056335476691,0.00019318603835556637,3.0059908085206414e-07,4.0662632696452726e-09
0.03,0.03,0.02,0.03,0.02,0.3,0.03,0.02,0.03,10.0,0.3,10.0,9.428852050253187e-05,2.5474401785288417e-05,1.0211939822963413e-05,1.4772665453082956e-07,1.6716127767441906e-08,2.9358293831287195e-11,2.780514103050751e-12,2.4437747279230164e-08,7.711410956856195e-10
0.05,0.05,0.05,0.04,0.05,0.5,0.05,0.05,0.04,20.0,0.5,20.0,0.00046143655006335984,0.00035630549462450077,0.0006596908695598391,5.426788037745142e-05,3.8648473652065235e-05,4.590750639239219e-07,1.7342832843444627e-09,3.532590046155463e-13,9.768208581634908e-11
0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,5.0,0.1,6.0,2.825389933848493e-06,8.649898897453607e-08,2.910086618339216e-09,3.0682792681779457e-12,2.4708924574403212e-14,2.3587386619659568e-18,7.916662057072634e-10,1.0033880250564108e-09,1.1356606235212682e-10
