FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM),C18_FA (uM),C20_FA (uM)
0.03,0.03,0.02,0.03,0.02,0.3,0.03,0.02,0.03,10.0,0.3,10.0,9.42883465586884e-05,2.5474311671801598e-05,1.0211886163437941e-05,1.4772564998874098e-07,1.6715992534111027e-08,2.9357703543984894e-11,1.95744276372393e-14,7.079620108508967e-19,1.6622329052201035e-23
0.05,0.05,0.05,0.04,0.05,0.5,0.05,0.05,0.04,20.0,0.5,20.0,0.0004614365540889345,0.0003563054859959657,0.0006596908232779535,5.4267873584273964e-05,3.8648447523093954e-05,4.590743889355605e-07,1.734293129273638e-09,3.532757180900236e-13,3.9834861496617904e-17
0.06,0.07,0.07,0.06,0.07,0.6,0.07,0.07,0.06,30.0,0.6,30.0,0.0009027049463132899,0.001005952070384846,0.0031026896225729962,0.00044311191244091454,0.0005518185557194183,1.3070258836489055e-05,9.408809188981642e-08,3.6750768129069424e-11,7.625859504960088e-15
0.06,0.06,0.05,0.06,0.05,0.6,0.06,0.05,0.06,30.0,0.6,30.0,0.0008061399879649998,0.0007819910583946849,0.0017732123362677625,0.00017123731763787501,0.0001361133889867597,2.0032985920064797e-06,9.60203510343326e-09,2.480112978904073e-12,7.151350344006068e-12
0.08,0.07,0.08,0.08,0.07,0.8,0.07,0.08,0.08,40.0,0.8,40.0,0.001654547265980742,0.002187738999251762,0.008736766108621329,0.0016523599655324569,0.0026405983319008996,8.959602985986384e-05,9.009614774245008e-07,5.009684900074988e-10,1.409485603947436e-13
0.09,0.09,0.08,0.09,0.1,0.9,0.09,0.08,0.09,50.0,0.9,50.0,0.002278448341045813,0.003365101077351901,0.015436135170064737,0.0033419975942606196,0.0058378104513006155,0.00021907723907598864,2.4733347192462883e-06,1.5237593295225882e-09,4.730507794886597e-13
0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,60.0,1.0,70.0,0.0029321944558043113,0.0045740525299717005,0.02383963018163753,0.006072641705466278,0.012559246606319728,0.00059578835668301,8.199423105893402e-06,6.126409940578096e-09,2.285344297894757e-12
0.1,0.1,0.2,0.1,0.2,1.0,0.1,0.2,0.1,80.0,1.0,70.0,0.003048828125858865,0.005073517940804109,0.035640688935958634,0.014976762668659096,0.05850102124418838,0.006690051082335733,0.00019318568750817717,3.058582235779795e-07,2.445911513305942e-10
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,80.0,2.0,80.0,0.005975803814165777,0.011218937914745626,0.09819503827767599,0.05802768916576018,0.33937953117528363,0.09153657194954198,0.0090534338810146,4.3623900906555126e-05,9.98153288446532e-08
0.3,0.3,0.3,0.3,0.2,3.0,0.3,0.3,0.3,100.0,3.0,100.0,0.008630064599106677,0.01566360720826221,0.14375367175351791,0.09799102940138006,0.7654830829040126,0.46491381349852434,0.11070794177029313,0.0012743380547809366,6.777752388448348e-06
