FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM)
0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,5.0,0.1,6.0,1.014501806103255e-05
0.02,0.01,0.02,0.02,0.02,0.2,0.01,0.02,0.02,8.0,0.2,7.0,0.00014186599762173576
0.03,0.03,0.02,0.03,0.02,0.3,0.03,0.02,0.03,10.0,0.3,10.0,0.0007303638533193013
0.04,0.03,0.04,0.04,0.03,0.4,0.03,0.04,0.04,20.0,0.4,20.0,0.002149793166519637
0.05,0.05,0.05,0.04,0.05,0.5,0.05,0.05,0.04,20.0,0.5,20.0,0.004418090659021999
0.06,0.06,0.05,0.06,0.05,0.6,0.06,0.05,0.06,30.0,0.6,30.0,0.008151916657951496
0.08,0.07,0.08,0.08,0.07,0.8,0.07,0.08,0.08,40.0,0.8,40.0,0.01844731511029792
0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,60.0,1.0,70.0,0.03402842302790895
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,100.0,2.0,100.0,0.17463722152848862
0.3,0.3,0.3,0.3,0.2,3.0,0.3,0.3,0.3,100.0,3.0,100.0,0.40916336141213117
0.4,0.3,0.4,0.4,0.4,4.0,0.3,0.4,0.4,200.0,4.0,200.0,0.741812233194436
0.5,0.5,0.5,0.5,0.5,5.0,0.5,0.5,0.5,300.0,5.0,200.0,1.1791241994822803
0.8,0.7,0.8,0.9,0.8,8.0,0.7,0.8,0.9,400.0,8.0,400.0,2.913637313135575
