FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM)
0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,5.0,0.1,6.0,2.8235836436032844e-06,2.2076178207296663e-07
0.02,0.01,0.02,0.02,0.02,0.2,0.01,0.02,0.02,8.0,0.2,7.0,3.138622220662112e-05,1.5263062944679145e-05
0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,10.0,0.2,10.0,3.2125413308811324e-05,2.516338738763952e-05
0.03,0.03,0.02,0.03,0.02,0.3,0.03,0.02,0.03,10.0,0.3,10.0,8.987319629126322e-05,0.00012151371527352068
0.03,0.03,0.03,0.03,0.03,0.3,0.03,0.03,0.03,20.0,0.3,20.0,0.00010581249781484925,0.00023441143986122214
0.04,0.03,0.04,0.04,0.03,0.4,0.03,0.04,0.04,20.0,0.4,20.0,0.0002186446577855385,0.000728139816717077
0.05,0.05,0.05,0.04,0.05,0.5,0.05,0.05,0.04,20.0,0.5,20.0,0.00036123251043288277,0.001994209515336541
0.06,0.06,0.05,0.06,0.05,0.6,0.06,0.05,0.06,30.0,0.6,30.0,0.0005669165718923296,0.004445357045841078
0.08,0.07,0.08,0.08,0.07,0.8,0.07,0.08,0.08,40.0,0.8,40.0,0.0009753938415225738,0.013878185826238752
0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,60.0,1.0,70.0,0.0013744411774281437,0.030435278095469462
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,80.0,2.0,80.0,0.0026290186463779597,0.20752935861275315
0.4,0.3,0.4,0.4,0.4,4.0,0.3,0.4,0.4,200.0,4.0,200.0,0.005368263143134171,0.9442645835293941
0.3,0.3,0.3,0.3,0.2,3.0,0.3,0.3,0.3,100.0,3.0,100.0,0.003949125826740209,0.5063261386283988
0.8,0.7,0.8,0.9,0.8,8.0,0.7,0.8,0.9,400.0,8.0,400.0,0.010224785020099632,3.7012127023223766
0.6,0.6,0.6,0.6,0.5,6.0,0.6,0.6,0.6,300.0,6.0,300.0,0.0067499668340195215,2.1389373974288635
