FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM)
0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,7.0,0.1,7.0,2.7074399694268865e-06,8.498537197983547e-08,6.429268732347802e-09
0.02,0.01,0.02,0.02,0.02,0.2,0.01,0.02,0.02,8.0,0.2,7.0,3.158954715350937e-05,5.022456600467785e-06,2.9302746779514874e-06
0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,10.0,0.2,10.0,3.288395667163852e-05,6.125502466823604e-06,5.3189380910279676e-06
0.03,0.03,0.02,0.03,0.02,0.3,0.03,0.02,0.03,10.0,0.3,10.0,9.411853498153045e-05,2.5407767273314385e-05,3.522577569490668e-05
0.03,0.03,0.03,0.03,0.03,0.3,0.03,0.03,0.03,20.0,0.3,20.0,0.00011661032221031565,4.768868678763804e-05,0.00012202420180740887
0.04,0.03,0.04,0.04,0.03,0.4,0.03,0.04,0.04,20.0,0.4,20.0,0.0002464964132206373,0.00013919410251223235,0.0006017645340511894
0.05,0.05,0.05,0.04,0.05,0.5,0.05,0.05,0.04,20.0,0.5,20.0,0.0004452720197472867,0.000340686207530062,0.00242301579291201
0.06,0.06,0.05,0.06,0.05,0.6,0.06,0.05,0.06,30.0,0.6,30.0,0.0007603986205317231,0.000727803233673907,0.006354916647463455
0.06,0.07,0.07,0.06,0.07,0.6,0.07,0.07,0.06,30.0,0.6,30.0,0.0008182623148039564,0.0008959910060923166,0.011427062133541449
0.08,0.07,0.08,0.08,0.07,0.8,0.07,0.08,0.08,40.0,0.8,40.0,0.0014212782820949474,0.0018313166852776087,0.0330007831484557
0.09,0.09,0.08,0.09,0.1,0.9,0.09,0.08,0.09,50.0,0.9,50.0,0.001840584380456278,0.002629548873233179,0.05828811070805778
0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,50.0,1.0,50.0,0.0020644907399948653,0.0031027923100010076,0.09450901495510891
0.1,0.1,0.2,0.1,0.2,1.0,0.1,0.2,0.1,80.0,1.0,70.0,0.0019484416819590391,0.0030932115194971335,0.1688291194480662
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,80.0,2.0,80.0,0.00393310843261208,0.006386926371051529,0.9367991527687753
0.3,0.3,0.3,0.3,0.2,3.0,0.3,0.3,0.3,100.0,3.0,100.0,0.006374847909423334,0.009966396686915268,2.1974666061404835
0.4,0.3,0.4,0.4,0.4,4.0,0.3,0.4,0.4,200.0,4.0,200.0,0.009265467826985003,0.01402917598414946,3.9979971668809515
0.8,0.7,0.8,0.9,0.8,8.0,0.7,0.8,0.9,400.0,8.0,400.0,0.021390832709909827,0.03183015488562863,13.519096216421893
2.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,700.0,20.0,700.0,0.11872575884442477,0.17476152208093934,36.03151188360951
0.6,0.6,0.6,0.6,0.5,6.0,0.6,0.6,0.6,300.0,6.0,300.0,0.013295914414199514,0.02002345944239905,8.449390312640316
2.0,2.0,2.0,2.0,2.0,20.0,2.0,2.0,2.0,900.0,20.0,900.0,0.07101813644522033,0.1048462044492141,47.78176862513316
3.0,3.0,3.0,3.0,2.0,30.0,3.0,3.0,3.0,1000.0,30.0,1000.0,0.147227069188396,0.21730287649122715,71.83692921288933
