FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM)
0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,7.0,0.1,7.0,2.7074433271403104e-06,8.498533313842658e-08,6.429055231014866e-09
0.02,0.01,0.02,0.02,0.02,0.2,0.01,0.02,0.02,8.0,0.2,7.0,3.158955995702296e-05,5.022458620414973e-06,2.930306078431358e-06
0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,10.0,0.2,10.0,3.288396055938743e-05,6.125503258942765e-06,5.318944763403198e-06
0.03,0.03,0.02,0.03,0.02,0.3,0.03,0.02,0.03,10.0,0.3,10.0,9.411854217977918e-05,2.5407771891389445e-05,3.522578237440625e-05
0.03,0.03,0.03,0.03,0.03,0.3,0.03,0.03,0.03,20.0,0.3,20.0,0.0001166103109413366,4.768868960311695e-05,0.00012202419946486784
0.04,0.03,0.04,0.04,0.03,0.4,0.03,0.04,0.04,20.0,0.4,20.0,0.0002464963971401245,0.00013919411213925674,0.0006017644507976838
0.05,0.05,0.05,0.04,0.05,0.5,0.05,0.05,0.04,20.0,0.5,20.0,0.000445272018276372,0.00034068626085894955,0.0024230155671829553
0.06,0.06,0.05,0.06,0.05,0.6,0.06,0.05,0.06,30.0,0.6,30.0,0.000760398613950389,0.0007278034096430211,0.006354916107876545
0.06,0.07,0.07,0.06,0.07,0.6,0.07,0.07,0.06,30.0,0.6,30.0,0.0008182623456987003,0.0008959912184453984,0.011427061458384681
0.08,0.07,0.08,0.08,0.07,0.8,0.07,0.08,0.08,40.0,0.8,40.0,0.0014212784135411909,0.0018313170342833642,0.033000782484514754
0.09,0.09,0.08,0.09,0.1,0.9,0.09,0.08,0.09,50.0,0.9,50.0,0.0018405845130783924,0.0026295493638636503,0.05828811068521089
0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,50.0,1.0,50.0,0.002064490831529382,0.0031027927325436,0.09450901479437632
0.1,0.1,0.2,0.1,0.2,1.0,0.1,0.2,0.1,80.0,1.0,70.0,0.001948441738742732,0.0030932116588172497,0.16882911721868252
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,100.0,2.0,100.0,0.003888607117015963,0.006337409779908466,0.9405619501547248
0.3,0.3,0.3,0.3,0.2,3.0,0.3,0.3,0.3,100.0,3.0,100.0,0.006374848263681169,0.00996639758609928,2.197466512766151
0.4,0.3,0.4,0.4,0.4,4.0,0.3,0.4,0.4,200.0,4.0,200.0,0.0092654674791217,0.014029175785912158,3.9979973637950055
0.8,0.7,0.8,0.9,0.8,8.0,0.7,0.8,0.9,400.0,8.0,400.0,0.02139083315356184,0.031830155947315704,13.519096207396284
0.6,0.6,0.6,0.6,0.5,6.0,0.6,0.6,0.6,300.0,6.0,300.0,0.013295914630415738,0.020023459644491728,8.449390246570264
2.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,700.0,20.0,700.0,0.11872575947446905,0.17476152159019936,36.03151202916261
2.0,2.0,2.0,2.0,2.0,20.0,2.0,2.0,2.0,900.0,20.0,900.0,0.07101813706335472,0.10484620568009384,47.781768689584304
