FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM)
0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,7.0,0.1,7.0,2.7074452998571285e-06,8.498542229004402e-08,6.428947323616385e-09
0.02,0.01,0.02,0.02,0.02,0.2,0.01,0.02,0.02,8.0,0.2,7.0,3.1589565453467976e-05,5.022459183035032e-06,2.930320549770615e-06
0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,10.0,0.2,10.0,3.288396165088456e-05,6.125503700842941e-06,5.318949970268287e-06
0.03,0.03,0.02,0.03,0.02,0.3,0.03,0.02,0.03,10.0,0.3,10.0,9.41185418308203e-05,2.5407773224136692e-05,3.522578619031534e-05
0.03,0.03,0.03,0.03,0.03,0.3,0.03,0.03,0.03,20.0,0.3,20.0,0.00011661030067023494,4.768869037261224e-05,0.00012202419866214695
0.04,0.03,0.04,0.04,0.03,0.4,0.03,0.04,0.04,20.0,0.4,20.0,0.00024649638471395494,0.00013919411607106138,0.0006017644073688192
0.05,0.05,0.05,0.04,0.05,0.5,0.05,0.05,0.04,20.0,0.5,20.0,0.0004452720094161138,0.0003406862902253617,0.002423015443981811
0.06,0.06,0.05,0.06,0.05,0.6,0.06,0.05,0.06,30.0,0.6,30.0,0.0007603986029454028,0.000727803499692227,0.006354915844449368
0.06,0.07,0.07,0.06,0.07,0.6,0.07,0.07,0.06,30.0,0.6,30.0,0.0008182623435461978,0.0008959913146822856,0.011427061190778826
0.08,0.07,0.08,0.08,0.07,0.8,0.07,0.08,0.08,40.0,0.8,40.0,0.0014212784234769011,0.0018313171516762283,0.033000782622796994
0.09,0.09,0.08,0.09,0.1,0.9,0.09,0.08,0.09,50.0,0.9,50.0,0.0018405846206890181,0.002629549553572819,0.05828811056705806
0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,50.0,1.0,50.0,0.002064490989291532,0.0031027929460316185,0.0945090143361393
0.1,0.1,0.2,0.1,0.2,1.0,0.1,0.2,0.1,80.0,1.0,70.0,0.001948441866963013,0.003093211711246296,0.1688291154769082
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,80.0,2.0,80.0,0.003933108455040043,0.006386926309988329,0.9367991516801629
0.4,0.3,0.4,0.4,0.4,4.0,0.3,0.4,0.4,200.0,4.0,200.0,0.009265467383358964,0.014029175444031611,3.9979973703572567
0.3,0.3,0.3,0.3,0.2,3.0,0.3,0.3,0.3,100.0,3.0,100.0,0.006374848289001582,0.009966397592816546,2.1974664991534834
2.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,700.0,20.0,700.0,0.1187257587711401,0.1747615198392998,36.03151200817167
0.8,0.7,0.8,0.9,0.8,8.0,0.7,0.8,0.9,400.0,8.0,400.0,0.02139083263624522,0.03183015494709405,13.519096247496943
0.6,0.6,0.6,0.6,0.5,6.0,0.6,0.6,0.6,300.0,6.0,300.0,0.013295914599689849,0.020023459546820277,8.449390258379426
2.0,2.0,2.0,2.0,2.0,20.0,2.0,2.0,2.0,900.0,20.0,900.0,0.07101813682540511,0.10484620510274363,47.78176868044789
