FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM)
0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,5.0,0.1,6.0,2.8253841013372567e-06,8.649872405881273e-08,6.079330674187161e-09
0.02,0.01,0.02,0.02,0.02,0.2,0.01,0.02,0.02,8.0,0.2,7.0,3.1589569273281596e-05,5.022460022459363e-06,2.930326819009757e-06
0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,10.0,0.2,10.0,3.288396270395585e-05,6.125504008767352e-06,5.3189509257441676e-06
0.03,0.03,0.02,0.03,0.02,0.3,0.03,0.02,0.03,10.0,0.3,10.0,9.411854286074762e-05,2.5407774231180875e-05,3.522578713285338e-05
0.03,0.03,0.03,0.03,0.03,0.3,0.03,0.03,0.03,20.0,0.3,20.0,0.00011661029894172807,4.768869124411757e-05,0.00012202419953777863
0.04,0.03,0.04,0.04,0.03,0.4,0.03,0.04,0.04,20.0,0.4,20.0,0.0002464963830358512,0.00013919411930227046,0.0006017644009230698
0.05,0.05,0.05,0.04,0.05,0.5,0.05,0.05,0.04,20.0,0.5,20.0,0.00044527201241056804,0.0003406863020259817,0.002423015414738876
0.06,0.06,0.05,0.06,0.05,0.6,0.06,0.05,0.06,30.0,0.6,30.0,0.0007603986078085003,0.0007278035426994602,0.0063549157101341095
0.06,0.07,0.07,0.06,0.07,0.6,0.07,0.07,0.06,30.0,0.6,30.0,0.0008182623505897291,0.0008959913628788506,0.011427061030385224
0.08,0.07,0.08,0.08,0.07,0.8,0.07,0.08,0.08,40.0,0.8,40.0,0.0014212784397625896,0.00183131720258501,0.033000782523157635
0.09,0.09,0.08,0.09,0.1,0.9,0.09,0.08,0.09,50.0,0.9,50.0,0.001840584629131791,0.0026295496226825857,0.05828811060302308
0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,50.0,1.0,50.0,0.0020644909853727756,0.0031027929845391625,0.09450901447571053
0.1,0.1,0.2,0.1,0.2,1.0,0.1,0.2,0.1,80.0,1.0,70.0,0.0019484418410809546,0.0030932116586475152,0.16882911601200346
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,80.0,2.0,80.0,0.003933108451031294,0.006386926281682543,0.936799151750447
0.3,0.3,0.3,0.3,0.2,3.0,0.3,0.3,0.3,100.0,3.0,100.0,0.006374848360718811,0.00996639778446416,2.197466475423124
0.4,0.3,0.4,0.4,0.4,4.0,0.3,0.4,0.4,200.0,4.0,200.0,0.009265467245428637,0.014029175297486728,3.997997422571636
2.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,700.0,20.0,700.0,0.1187257592069543,0.1747615205805673,36.03151203954867
0.8,0.7,0.8,0.9,0.8,8.0,0.7,0.8,0.9,400.0,8.0,400.0,0.021390832767519852,0.031830155228309176,13.519096235831423
0.6,0.6,0.6,0.6,0.5,6.0,0.6,0.6,0.6,300.0,6.0,300.0,0.013295914633468948,0.02002345949444974,8.44939022931828
2.0,2.0,2.0,2.0,2.0,20.0,2.0,2.0,2.0,900.0,20.0,900.0,0.0710181372292346,0.10484620575301704,47.78176870200568
3.0,3.0,3.0,3.0,2.0,30.0,3.0,3.0,3.0,1000.0,30.0,1000.0,0.14722707484531464,0.21730288539167333,71.83692924797715
