FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM)
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,10.0,500.0,0.013351519989866159,0.020717769828754173,0.18096428321082064,6.694690670878834
0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,5.0,0.1,6.0,2.8253487330365875e-06,8.649870801582656e-08,2.909206923015266e-09,5.809354594934286e-12
0.02,0.01,0.02,0.02,0.02,0.2,0.01,0.02,0.02,8.0,0.2,7.0,3.159414463718969e-05,5.023499325459006e-06,1.2420631048415835e-06,2.2718277740669972e-08
0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,10.0,0.2,10.0,3.2904793427060146e-05,6.131042329805974e-06,1.7287621933759948e-06,4.499294995090315e-08
0.03,0.03,0.02,0.03,0.02,0.3,0.03,0.02,0.03,10.0,0.3,10.0,9.428504991852124e-05,2.5472962303181936e-05,1.0211268769652633e-05,4.094316684453592e-07
0.03,0.03,0.03,0.03,0.03,0.3,0.03,0.03,0.03,20.0,0.3,20.0,0.00011736222716856421,4.8095264616250074e-05,3.5552569156745525e-05,2.8112170342621893e-06
0.04,0.03,0.04,0.04,0.03,0.4,0.03,0.04,0.04,20.0,0.4,20.0,0.0002496987666979092,0.00014157539119972928,0.00017211410863080288,2.3571289815774466e-05
0.04,0.04,0.04,0.04,0.04,0.4,0.04,0.04,0.04,20.0,0.4,20.0,0.0002766938693707022,0.00017788826497184702,0.00024020186709381995,3.7492277236073806e-05
0.05,0.05,0.05,0.04,0.05,0.5,0.05,0.05,0.04,20.0,0.5,20.0,0.0004599407173942366,0.00035475928285521544,0.0006562485705650651,0.00015099843700175797
0.06,0.07,0.07,0.06,0.07,0.6,0.07,0.07,0.06,30.0,0.6,30.0,0.0008907067287879679,0.0009893572251750949,0.0030429139430023407,0.0012030131158119036
