FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C12_FA_unsat (uM)
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,10.0,500.0,0.0384990366339928,0.05854762577851032,0.5286872095553065,0.24655594962371424,12.239138234254867,7.224738104239445
0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,5.0,0.1,6.0,2.8253818582701223e-06,8.649885173275566e-08,2.909903019763832e-09,1.4295299573816532e-12,2.066947203881367e-14,1.427596304078274e-14
0.02,0.01,0.02,0.02,0.02,0.2,0.01,0.02,0.02,8.0,0.2,7.0,3.159432750795544e-05,5.023510237807133e-06,1.2421523292986305e-06,5.028239063273582e-09,6.74058916676629e-10,5.643479953232641e-10
0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,10.0,0.2,10.0,3.290508770159332e-05,6.131115921761896e-06,1.7288059462874966e-06,7.76412960361379e-09,1.411470263885172e-09,8.816017512157956e-10
0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,7.0,0.1,7.0,2.7074649403066566e-06,8.498665773440171e-08,2.9634654950251465e-09,1.509725834137455e-12,1.2842248264766442e-08,1.547556447249531e-14
0.03,0.03,0.02,0.03,0.02,0.3,0.03,0.02,0.03,10.0,0.3,10.0,9.428827937871378e-05,2.547427764524942e-05,1.0211871527950314e-05,7.488074744287633e-08,1.98484272846122e-08,1.3084719585158152e-08
0.03,0.03,0.03,0.03,0.03,0.3,0.03,0.03,0.03,20.0,0.3,20.0,0.00011738474385106703,4.810850133144829e-05,3.5564245615633985e-05,4.3320556818520006e-07,2.3402679266103192e-07,1.3942787522485609e-07
0.04,0.03,0.04,0.04,0.03,0.4,0.03,0.04,0.04,20.0,0.4,20.0,0.0002498796161630519,0.00014172204496343518,0.00017233254369449665,3.451655344496955e-06,3.265224524418358e-06,2.6722204177917004e-06
0.04,0.04,0.04,0.04,0.04,0.4,0.04,0.04,0.04,20.0,0.4,20.0,0.0002769849577316706,0.00017814915709837473,0.00024063749933380326,5.5638726541821615e-06,5.832628454557933e-06,3.6774557933519434e-06
0.05,0.05,0.05,0.04,0.05,0.5,0.05,0.05,0.04,20.0,0.5,20.0,0.00046098165271343783,0.00035585482327489434,0.0006587563085570349,2.010269535101002e-05,3.0461999816576642e-05,1.7867689943463354e-05
