FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM)
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,10.0,500.0,0.04226414340054089,0.06411399049375918,0.5763003519383312,0.428251336989477,21.218070303881124
0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,5.0,0.1,6.0,2.8253828319343114e-06,8.649888023122942e-08,2.9099720411702145e-09,3.077349568250662e-12,4.3131710654536e-14
0.02,0.01,0.02,0.02,0.02,0.2,0.01,0.02,0.02,8.0,0.2,7.0,3.1594324627164576e-05,5.0235094399392345e-06,1.2421534401437066e-06,1.1464737837882231e-08,1.5067913311546381e-09
0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,10.0,0.2,10.0,3.2905106087507686e-05,6.131121602383439e-06,1.7288078987546292e-06,1.779726798453816e-08,3.160883610490233e-09
0.03,0.03,0.02,0.03,0.02,0.3,0.03,0.02,0.03,10.0,0.3,10.0,9.428832264697792e-05,2.5474297526189287e-05,1.0211881482076065e-05,1.4772409886068303e-07,3.814750135936703e-08
0.03,0.03,0.03,0.03,0.03,0.3,0.03,0.03,0.03,20.0,0.3,20.0,0.00011738947461479467,4.8111258385177695e-05,3.556669174593662e-05,1.0319791506968235e-06,5.431155513087724e-07
0.04,0.03,0.04,0.04,0.03,0.4,0.03,0.04,0.04,20.0,0.4,20.0,0.0002498999981677369,0.00014173795355138774,0.00017235396208617872,8.756668254820673e-06,8.00915257342973e-06
0.04,0.04,0.04,0.04,0.04,0.4,0.04,0.04,0.04,20.0,0.4,20.0,0.000277057085390647,0.00017821026503057666,0.00024073011082119313,1.3604667454813943e-05,1.3892083433511205e-05
0.05,0.05,0.05,0.04,0.05,0.5,0.05,0.05,0.04,20.0,0.5,20.0,0.0004613753058848771,0.00035624013370076364,0.0006595381164685552,5.425569848548462e-05,8.055017473875312e-05
0.06,0.06,0.05,0.06,0.05,0.6,0.06,0.05,0.06,30.0,0.6,30.0,0.0008059087159005677,0.0007816882466285439,0.0017723507269618347,0.00017115917946820066,0.0002666542136036121
