FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C12_FA_unsat (uM),C14_FA_unsat (uM)
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,10.0,500.0,0.0333783203960405,0.05138029427918067,0.4719658287741705,0.22010043974792048,2.3264874410770418,7.410729101140618,1.344181383686461,4.137734130686019
0.02,0.01,0.02,0.02,0.02,0.2,0.01,0.02,0.02,8.0,0.2,7.0,3.1594323239999914e-05,5.023511295666815e-06,1.2421455772514093e-06,5.028123581146719e-09,3.8774706528118137e-10,6.348428632253966e-13,3.236371198861876e-10,3.3256964443349783e-13
0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,10.0,0.2,10.0,3.290508568865638e-05,6.131115311266217e-06,1.7288046582585738e-06,7.764076012806386e-09,6.536299487040318e-10,1.3495951087169735e-12,4.0845239169800396e-10,5.151496119576503e-13
0.03,0.03,0.02,0.03,0.02,0.3,0.03,0.02,0.03,10.0,0.3,10.0,9.428829858025465e-05,2.547428606357736e-05,1.0211879040492599e-05,7.488075295032968e-08,8.674468134779868e-09,2.8436040933494494e-11,5.725454960130586e-09,1.3063370366826298e-11
0.03,0.03,0.03,0.03,0.03,0.3,0.03,0.03,0.03,20.0,0.3,20.0,0.00011738497956092767,4.810864206970143e-05,3.55643779354869e-05,4.3320654850996505e-07,1.0583265867871357e-07,6.853307207602853e-10,6.342479639634946e-08,2.414126284769715e-10
0.04,0.03,0.04,0.04,0.03,0.4,0.03,0.04,0.04,20.0,0.4,20.0,0.00024988307242870296,0.00014172495943611836,0.00017233716399532725,3.4517461654611527e-06,1.5422534963225746e-06,1.8686573413728694e-08,1.2698547038230323e-06,9.06348652762295e-09
0.04,0.04,0.04,0.04,0.04,0.4,0.04,0.04,0.04,20.0,0.4,20.0,0.0002769914676122228,0.00017815515242190628,0.00024064792282991223,5.564112624027103e-06,2.7121700411061304e-06,3.621510164187792e-08,1.7227021585507004e-06,1.3393546648536437e-08
0.05,0.05,0.05,0.04,0.05,0.5,0.05,0.05,0.04,20.0,0.5,20.0,0.0004610183250809691,0.0003558939033138626,0.0006588476038946151,2.010541130869053e-05,1.4556851912032772e-05,2.778785286224573e-07,8.616134674739495e-06,8.660805286271249e-08
0.06,0.06,0.05,0.06,0.05,0.6,0.06,0.05,0.06,30.0,0.6,30.0,0.0008050969442750869,0.0007807730056373437,0.0017703759041291975,7.323898937040401e-05,5.9674264261483245e-05,1.335654821330921e-06,3.948030387118222e-05,5.442535357859641e-07
0.06,0.07,0.07,0.06,0.07,0.6,0.07,0.07,0.06,30.0,0.6,30.0,0.0008993293806721866,0.001001658195932429,0.003089307746251707,0.0001661273622923024,0.00020944573577468358,7.389242653864468e-06,0.00013178815627004127,2.5199448676467724e-06
