FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM)
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,10.0,500.0,0.0377654308394778,0.05797328068198977,0.5295184352255733,0.39680483074212025,4.153802336582629,13.076623740882694
0.02,0.01,0.02,0.02,0.02,0.2,0.01,0.02,0.02,8.0,0.2,7.0,3.159432325663212e-05,5.023509233249836e-06,1.2421522353579574e-06,1.1464701450426189e-08,8.680836335112305e-10,1.3881579596753653e-12
0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,10.0,0.2,10.0,3.2905107402744024e-05,6.131122030548805e-06,1.7288082168494381e-06,1.779725508899313e-08,1.4673614151315161e-09,2.9712334329239945e-12
0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,7.0,0.1,7.0,2.707465915487386e-06,8.498669900378498e-08,2.963467593983865e-09,3.253204031214097e-12,2.2161359448297726e-09,1.755437340739306e-10
0.03,0.03,0.02,0.03,0.02,0.3,0.03,0.02,0.03,10.0,0.3,10.0,9.428833849373459e-05,2.5474304075408472e-05,1.0211883746371467e-05,1.4772386663764383e-07,1.671696285759076e-08,5.368542307212501e-11
0.03,0.03,0.03,0.03,0.03,0.3,0.03,0.03,0.03,20.0,0.3,20.0,0.00011738981446586553,4.8111464352628e-05,3.556689012340839e-05,1.0319845926983016e-06,2.463826764822805e-07,1.5611025725063843e-09
0.04,0.03,0.04,0.04,0.03,0.4,0.03,0.04,0.04,20.0,0.4,20.0,0.00024990464314115054,0.00014174187633635206,0.00017236018678381187,8.756978387293868e-06,3.7991478985638026e-06,4.4771463038512606e-08
0.04,0.04,0.04,0.04,0.04,0.4,0.04,0.04,0.04,20.0,0.4,20.0,0.00027706657636971613,0.000178219012962275,0.0002407453287977719,1.3605519995842352e-05,6.4833180817980246e-06,8.46346301565697e-08
0.05,0.05,0.05,0.04,0.05,0.5,0.05,0.05,0.04,20.0,0.5,20.0,0.0004614363581762862,0.00035630515376387534,0.0006596897707014313,5.426777355873408e-05,3.8648198339009956e-05,7.233127625432993e-07
0.06,0.06,0.05,0.06,0.05,0.6,0.06,0.05,0.06,30.0,0.6,30.0,0.0008061389718529198,0.0007819892419224201,0.0017732059242198393,0.00017123671887665472,0.00013611252567159623,2.9672585664945137e-06
