FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM),C12_FA_unsat (uM),C14_FA_unsat (uM),C16_FA_unsat (uM)
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,10.0,500.0,0.03213073335405316,0.04957719181970191,0.45705602464632256,0.21380109349106158,2.25651972268388,3.6098601496541742,3.202522709548926,1.3097916852599147,2.0561856478622897,1.7215717298408235
0.06,0.07,0.07,0.06,0.07,0.6,0.07,0.07,0.06,30.0,0.6,30.0,0.0008993340284668963,0.0010016636058164713,0.0030893224552032013,0.0001661282626674977,0.0002094467111037407,5.047902549316121e-06,4.529113178702665e-08,0.00013178834277973627,1.723760770831008e-06,1.2450909303261247e-08
0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,60.0,1.0,70.0,0.002904590531464451,0.004532853059236156,0.023685218287245964,0.002424432176995654,0.005037580817508331,0.00024211322961689656,3.7732901767846328e-06,0.0033637020794085584,9.285033438903112e-05,1.1666245073661948e-06
0.3,0.3,0.3,0.3,0.2,3.0,0.3,0.3,0.3,100.0,3.0,100.0,0.008194569814057216,0.015152284594096715,0.14213809444580422,0.039227929326781645,0.30510907399675447,0.17655833525515666,0.04256006350320365,0.3339140535965209,0.12228257223545674,0.02472974117945924
0.4,0.3,0.4,0.4,0.4,4.0,0.3,0.4,0.4,200.0,4.0,200.0,0.010948935155342145,0.018594361681541174,0.17391095472408222,0.0591674905409739,0.5299667696433099,0.5257275613227476,0.24853833671542186,0.5208026416020888,0.3606300635351548,0.1417119549696947
2.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,700.0,20.0,700.0,0.120798292817223,0.18136695233728,1.592867380417491,0.8225313295351654,6.796828285675779,6.912668156025882,2.609909551909109,3.1053690790393853,3.0855649543017627,1.0678974308792741
0.5,0.5,0.5,0.5,0.5,5.0,0.5,0.5,0.5,300.0,5.0,200.0,0.011499988353019786,0.019600263273450016,0.18539899287880976,0.06279981970699794,0.6015990111566555,0.8046822982164354,0.6889266839243724,0.605441826448405,0.6397860280633139,0.4671195856530711
0.8,0.7,0.8,0.9,0.8,8.0,0.7,0.8,0.9,400.0,8.0,400.0,0.025727139877543884,0.04003938933098825,0.36912903609847925,0.156110402961963,1.6018543223727288,2.410176650466079,1.9319032142004595,1.1729449126985423,1.6827120459714637,1.257582747608885
0.6,0.7,0.7,0.7,0.7,6.0,0.7,0.7,0.7,400.0,6.0,300.0,0.013482385649596458,0.02220514821452822,0.21073228677962383,0.07982688679269045,0.8259440560365805,1.317489930235426,1.5755763259561717,0.6916230642152945,0.9929594733575698,1.077537908281817
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,10.0,500.0,0.03213073335405316,0.04957719181970191,0.45705602464632256,0.21380109349106158,2.25651972268388,3.6098601496541742,3.202522709548926,1.3097916852599147,2.0561856478622897,1.7215717298408235
