FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM)
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,10.0,500.0,0.03631076369016834,0.05587448441002917,0.5122544837763368,0.3850924565123844,4.026010047446732,6.454420067095069,5.5601234184716315
0.03,0.03,0.02,0.03,0.02,0.3,0.03,0.02,0.03,10.0,0.3,10.0,9.428833926826825e-05,2.5474304084743216e-05,1.0211884148864642e-05,1.477237480850718e-07,1.671700376445945e-08,2.939836440500494e-11,4.170119821129806e-12
0.04,0.03,0.04,0.04,0.03,0.4,0.03,0.04,0.04,20.0,0.4,20.0,0.0002499046602278681,0.00014174188908200986,0.00017236020866414188,8.756979689134605e-06,3.7991494662327874e-06,2.7620299772225338e-08,9.64408178006551e-11
0.05,0.05,0.05,0.04,0.05,0.5,0.05,0.05,0.04,20.0,0.5,20.0,0.00046143660850275856,0.0003563054249569221,0.0006596904356688851,5.426782868434247e-05,3.864822543099705e-05,4.590684193528801e-07,2.2561776356333042e-09
0.06,0.06,0.05,0.06,0.05,0.6,0.06,0.05,0.06,30.0,0.6,30.0,0.0008061400905855061,0.0007819907497503573,0.0017732104800750174,0.00017123716229218745,0.00013611286518644823,2.0032750539878195e-06,1.1918530630724027e-08
0.06,0.07,0.07,0.06,0.07,0.6,0.07,0.07,0.06,30.0,0.6,30.0,0.0009027050419796991,0.0010059517532148938,0.0031026862330521426,0.0004431115147394811,0.000551818238752852,1.30702043689773e-05,1.1448857708820469e-07
0.08,0.07,0.08,0.08,0.07,0.8,0.07,0.08,0.08,40.0,0.8,40.0,0.0016545473053815876,0.00218773820422554,0.00873675593713653,0.0016523583371556058,0.002640599391140004,8.959609968819883e-05,1.0231474857860277e-06
0.09,0.09,0.08,0.09,0.1,0.9,0.09,0.08,0.09,50.0,0.9,50.0,0.0022784483128506653,0.003365099522079789,0.015436113054137298,0.003341993262156065,0.005837814060094788,0.00021907798744128353,2.765613403592068e-06
0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,60.0,1.0,70.0,0.0029321934130546318,0.004574048670539288,0.023839587027498436,0.006072630947353669,0.01255924612628704,0.0005957904224636403,9.001683687191588e-06
0.1,0.1,0.2,0.1,0.2,1.0,0.1,0.2,0.1,80.0,1.0,70.0,0.003048792241616065,0.0050734483299673915,0.03564007697713954,0.01497652708231466,0.05850045548317226,0.006690068931224581,0.00020993015037589125
