FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM),C18_FA (uM)
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,10.0,500.0,0.036310760852562435,0.055873880205144145,0.5122952462769657,0.38525798158188035,4.026946496391849,6.447268157107206,5.240343842005963,0.2687848270786517
0.4,0.3,0.4,0.4,0.4,4.0,0.3,0.4,0.4,200.0,4.0,200.0,0.011924308031536686,0.01995863059682419,0.18326981812078075,0.1311927706686399,1.1653841826760802,1.1731215794765775,0.5268939326022433,0.012861029435912543
0.8,0.7,0.8,0.9,0.8,8.0,0.7,0.8,0.9,400.0,8.0,400.0,0.02869479538035788,0.04450868518382542,0.40790811093570056,0.3047970715882688,3.1007457104580105,4.663556774792517,3.4438937821334203,0.15793318751043486
0.6,0.6,0.6,0.6,0.5,6.0,0.6,0.6,0.6,300.0,6.0,300.0,0.017397879695479516,0.028348944520230557,0.262813339493984,0.19139396447418688,1.8738523522584412,2.628010744334516,1.9467256172360572,0.08451761440284215
0.6,0.7,0.7,0.7,0.7,6.0,0.7,0.7,0.7,400.0,6.0,300.0,0.015227598551852687,0.024854112841914397,0.232957029403847,0.17131451703815667,1.7586654405715665,2.797478775216824,2.9487383909536202,0.20218226217570365
0.9,1.0,0.9,0.9,1.0,9.0,1.0,0.9,0.9,500.0,9.0,500.0,0.027989788289981905,0.04359032018731003,0.4034319390436976,0.30319850428935136,3.2348244854397463,5.386915316133869,5.054259944592363,0.3033832473568202
2.0,2.0,2.0,2.0,2.0,20.0,2.0,2.0,2.0,1000.0,20.0,1000.0,0.09845403759039688,0.14758329801946596,1.3260942637316073,1.0016160637044944,10.182415968621026,16.254865235179498,12.968026676565684,0.7053025266440175
2.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,700.0,20.0,700.0,0.13235710388802194,0.19849891287258695,1.735198813692652,1.273715647386696,10.506889932699266,10.91201998917606,4.019714370842739,0.0858580978805521
0.04,0.04,0.04,0.04,0.04,0.4,0.04,0.04,0.04,20.0,0.4,20.0,0.0002770665646928572,0.00017821906585347515,0.00024074547797452525,1.3605546946979834e-05,6.483389612292284e-06,5.1036649591320165e-08,1.4821546959023733e-10,5.910915669600959e-10
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,100.0,2.0,100.0,0.006121947838548079,0.011566962611385352,0.10017747622946063,0.058100055486327094,0.331910443888939,0.0873736016381308,0.008868918567236712,4.751366269155836e-05
