FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM),C18_FA (uM),C20_FA (uM),C12_FA_unsat (uM),C14_FA_unsat (uM),C16_FA_unsat (uM),C18_FA_unsat (uM),C20_FA_unsat (uM)
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,10.0,500.0,0.03190191911495083,0.04923842299588581,0.4540955557007028,0.21249851518115975,2.242813751005038,3.5894111786195007,3.0029563209418373,0.15531018562602092,0.004363136341443951,1.3048095875225647,2.048290275894,1.1666501918213328,0.3848332836038862,0.08085288195855628
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,600.0,10.0,700.0,0.028528759957378812,0.04394493423211394,0.4057176135159872,0.1992008116028996,2.1587992119245123,3.6207936342696003,3.482601976212268,0.21269823900094817,0.007121181797791288,1.0809956355551376,1.7657600947470304,1.1093703544329707,0.4124707531196396,0.10137559975337551
2.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,700.0,20.0,700.0,0.12065692378438765,0.18115915576146235,1.5911281389771998,0.8218084063849385,6.790867750256195,6.906688423750907,2.5474968729009966,0.05440938609941158,0.0006068297111706076,3.1037155503039537,3.0836833786920717,0.8976222966882973,0.1374254655114138,0.0116852854038269
2.0,2.0,2.0,2.0,2.0,20.0,2.0,2.0,2.0,1000.0,20.0,1000.0,0.08999839523401722,0.13483967285588624,1.2137895829795249,0.7048503035091501,7.200869727000924,11.373362503029828,9.036207481040663,0.477803647743968,0.01465432545909953,2.310554931355278,3.994902797597961,2.350879346859484,0.8423382706907068,0.20089221180193328
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,10.0,500.0,0.03190191911495083,0.04923842299588581,0.4540955557007028,0.21249851518115975,2.242813751005038,3.5894111786195007,3.0029563209418373,0.15531018562602092,0.004363136341443951,1.3048095875225647,2.048290275894,1.1666501918213328,0.3848332836038862,0.08085288195855628
0.8,0.7,0.8,0.9,0.8,8.0,0.7,0.8,0.9,400.0,8.0,400.0,0.02556854924914951,0.03980860292665758,0.36717128660429815,0.15542042659812608,1.5947856855334628,2.4012687908902164,1.8218685559264485,0.08418834948569465,0.002066316779216689,1.1700341782608126,1.6788319354503396,0.875859671605512,0.256321751168081,0.046361521811073614
0.4,0.5,0.4,0.4,0.5,4.0,0.5,0.4,0.4,200.0,4.0,200.0,0.009251426647928726,0.016558513718602036,0.15832985223508747,0.058332148022416125,0.5272128256881746,0.5798993571450319,0.36178805873593917,0.011953778469653965,0.00018864876498574784,0.39350594302012853,0.3082960007722124,0.10734723804920021,0.019311408552947495,0.0021524006811403686
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,80.0,2.0,80.0,0.00586380975960196,0.011118079807738246,0.09890818559121779,0.024955418255260983,0.1436976337947661,0.03666564119305135,0.003352410403576692,1.4925030118832647e-05,3.268839179123897e-08,0.11211726446537423,0.017716199676866412,0.0011390082406746297,3.1777411056959234e-05,4.835933725419574e-07
0.6,0.7,0.7,0.7,0.7,6.0,0.7,0.7,0.7,400.0,6.0,300.0,0.013338156349243329,0.02200458158005873,0.20912763816174001,0.07944688999191912,0.8221785952210043,1.3152465381267195,1.4317958815215956,0.09780333288766292,0.003501355770529446,0.6906849847838982,0.9928831764990644,0.6275918785918176,0.22945546978829104,0.0565318731980904
0.4,0.3,0.4,0.4,0.4,4.0,0.3,0.4,0.4,200.0,4.0,200.0,0.010944074708145986,0.018594386542038255,0.17399505205429372,0.05925163760532331,0.5308828868403944,0.5263881325621109,0.23491670755177055,0.005563020225559209,6.232746894361986e-05,0.5220039016632058,0.3610957470303561,0.10009136663729837,0.013401153906686496,0.0010180801760537234
