FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM),C18_FA (uM),C20_FA (uM)
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,10.0,500.0,0.03631063233800988,0.055873591368014196,0.5122915140072076,0.3852563505006418,4.026893402496363,6.447076177255704,5.239713704262373,0.2611550505470332,0.007032774924645746
0.3,0.3,0.3,0.3,0.2,3.0,0.3,0.3,0.3,100.0,3.0,100.0,0.008630064620443814,0.015663607101866588,0.14375367002200323,0.09799103358554395,0.7654831435311567,0.46491376225740866,0.11070794122581483,0.0012743383956750993,6.777750901823042e-06
0.4,0.3,0.4,0.4,0.4,4.0,0.3,0.4,0.4,200.0,4.0,200.0,0.011924435008081227,0.019958840202422463,0.1832719677692069,0.13119465340010822,1.1654036624009678,1.1731409187424062,0.5268790487272135,0.012501471822194212,0.00013990905543906067
0.3,0.3,0.3,0.3,0.3,3.0,0.3,0.3,0.3,200.0,3.0,200.0,0.008147516504261728,0.014937768557470369,0.13605896123466546,0.09007446175463545,0.7026348652597928,0.4900365341924459,0.18914786716229665,0.003838690876915479,3.640191547178863e-05
0.4,0.5,0.4,0.4,0.5,4.0,0.5,0.4,0.4,200.0,4.0,200.0,0.010129234000840214,0.017819358621706374,0.16651260912401877,0.11641451135834387,1.0369235497080624,1.1683360191824637,0.7490247789484882,0.025347555927950446,0.00040794317192075077
0.5,0.5,0.5,0.5,0.5,5.0,0.5,0.5,0.5,300.0,5.0,200.0,0.01276432940443589,0.021466442836321445,0.19961123383578416,0.14309744934883548,1.359919435022076,1.8199463025981872,1.4154883226589816,0.06270875900266142,0.0013602077798184522
2.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,700.0,20.0,700.0,0.13235714037733745,0.1984989493819365,1.7351988276560286,1.273716566105091,10.506879670250248,10.911978669380977,4.019664685788602,0.08486753385909912,0.0009270508136247984
0.8,0.7,0.8,0.9,0.8,8.0,0.7,0.8,0.9,400.0,8.0,400.0,0.028694976769405342,0.044508913852087315,0.4079096324398192,0.3047996155955265,3.1007458734072544,4.66350541541624,3.443569631087027,0.15379266039174264,0.003636605967216565
0.6,0.7,0.7,0.7,0.7,6.0,0.7,0.7,0.7,400.0,6.0,300.0,0.015227562011878136,0.024854090733481028,0.232957358797769,0.17131775482391676,1.758688991601438,2.7976091531057534,2.948173016802721,0.19342596705652626,0.006653774340808516
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,10.0,500.0,0.03631063233800988,0.055873591368014196,0.5122915140072076,0.3852563505006418,4.026893402496363,6.447076177255704,5.239713704262373,0.2611550505470332,0.007032774924645746
