FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabA (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM)
1.0,1.0,1.0,1.0,1.0,10.0,1.0,500.0,10.0,500.0,4.494074438770808
0.01,0.01,0.01,0.01,0.01,0.1,0.01,7.0,0.1,7.0,1.7586789815132994e-05
0.02,0.01,0.02,0.02,0.02,0.2,0.01,8.0,0.2,8.0,0.00018593111273846507
0.03,0.03,0.03,0.03,0.03,0.3,0.03,20.0,0.3,20.0,0.0011679440113470008
0.04,0.03,0.04,0.04,0.03,0.4,0.03,20.0,0.4,20.0,0.0025030712287637097
0.05,0.05,0.05,0.04,0.05,0.5,0.05,30.0,0.4,20.0,0.004035507731299387
0.06,0.06,0.05,0.06,0.05,0.6,0.06,30.0,0.6,30.0,0.008984706530088569
0.08,0.07,0.08,0.08,0.07,0.8,0.07,40.0,0.8,40.0,0.01974095402790838
0.1,0.1,0.2,0.1,0.2,1.0,0.1,80.0,1.0,80.0,0.03869354804864954
0.2,0.2,0.2,0.2,0.2,2.0,0.2,100.0,2.0,100.0,0.17930593785426346
